hb,temp,result
64.9,97.4,0
61.9,97.4,0
91.9,95.9,0
81.2,99.9,0
71.6,98.7,0
80.7,99.1,0
72.8,96.7,0
68.0,98.7,0
61.1,95.1,0
94.5,95.3,0
92.0,95.8,0
71.6,98.1,0
64.3,95.1,0
98.0,99.0,0
74.8,95.1,0
69.7,99.9,0
87.9,96.8,0
100.8,95.3,0
77.8,96.2,0
99.5,99.3,0
66.2,99.8,0
100.9,95.7,0
92.0,96.4,0
69.3,95.8,0
79.2,95.7,0
89.1,95.9,0
98.8,97.7,0
69.6,96.5,0
90.9,97.6,0
86.6,96.2,0
73.7,97.1,0
96.6,98.7,0
81.2,95.2,0
94.2,99.4,0
73.4,99.4,0
64.9,98.1,0
93.4,98.7,0
77.6,95.8,0
94.6,99.5,0
66.9,98.9,0
95.2,97.4,0
63.3,96.2,0
92.1,99.7,0
77.5,99.7,0
80.5,95.1,0
96.3,96.8,0
89.5,98.2,0
70.9,98.3,0
68.5,95.4,0
98.3,97.4,0
96.8,96.0,0
85.9,96.7,0
99.1,99.5,0
80.4,96.2,0
65.4,97.6,0
99.0,96.0,0
81.7,99.6,0
88.0,97.0,0
80.4,95.1,0
72.4,96.1,0
75.5,98.4,0
78.3,97.4,0
83.7,97.0,0
98.3,99.6,0
71.9,97.4,0
74.1,97.7,0
71.8,98.6,0
70.5,96.0,0
89.6,96.3,0
82.0,97.1,0
80.2,98.4,0
98.9,99.2,0
70.1,99.9,0
73.6,97.3,0
62.4,96.0,0
67.0,99.8,0
63.5,99.9,0
66.1,96.7,0
64.3,97.0,0
88.5,99.8,0
79.8,96.6,0
62.4,96.0,0
67.4,97.3,0
88.1,99.2,0
70.5,96.0,0
74.7,98.8,0
70.4,97.4,0
64.9,95.3,0
72.7,95.1,0
95.0,97.0,0
92.5,98.7,0
65.1,97.2,0
62.9,95.5,0
86.6,99.2,0
76.0,99.7,0
92.8,97.7,0
94.0,95.8,0
72.3,98.6,0
70.1,99.2,0
72.3,98.6,0
95.2,99.0,0
87.0,96.0,0
64.9,98.5,0
98.6,96.5,0
78.5,98.8,0
76.4,97.3,0
77.4,96.2,0
64.9,98.8,0
99.5,97.6,0
87.1,95.7,0
68.9,95.3,0
83.2,97.7,0
67.1,98.2,0
92.7,96.2,0
91.4,100.0,0
69.4,95.8,0
78.0,95.3,0
86.0,99.5,0
86.4,96.7,0
86.8,98.4,0
76.0,98.1,0
61.4,96.5,0
74.1,99.2,0
74.7,98.0,0
72.7,96.8,0
70.5,96.6,0
96.1,98.4,0
68.9,95.5,0
100.6,99.0,0
94.0,95.1,0
80.5,98.7,0
65.9,95.2,0
70.8,96.2,0
98.3,96.4,0
77.2,99.8,0
71.1,96.7,0
93.5,95.0,0
95.5,95.4,0
71.6,97.7,0
74.4,99.9,0
69.5,98.6,0
74.2,96.6,0
71.6,99.6,0
94.9,96.8,0
68.0,95.3,0
72.1,97.1,0
93.3,98.5,0
80.1,97.8,0
87.3,98.7,0
69.0,95.6,0
70.3,98.9,0
62.2,98.6,0
61.2,99.8,0
98.7,97.7,0
96.8,95.3,0
94.9,97.2,0
90.2,100.0,0
81.2,96.4,0
71.5,96.5,0
80.7,100.0,0
65.3,99.9,0
93.9,99.2,0
94.0,98.1,0
90.4,97.9,0
87.2,97.0,0
86.2,97.1,0
71.2,97.0,0
92.3,97.1,0
84.5,96.8,0
65.0,95.5,0
77.8,96.2,0
69.2,99.5,0
100.5,97.2,0
91.6,98.1,0
80.0,95.5,0
61.2,97.9,0
88.3,96.1,0
84.5,97.7,0
91.0,95.7,0
75.5,97.8,0
71.1,97.7,0
94.8,98.9,0
64.6,99.2,0
61.8,98.8,0
95.9,99.7,0
100.3,95.7,0
87.4,99.1,0
66.7,95.6,0
68.7,97.1,0
96.6,97.4,0
91.3,95.5,0
94.0,98.2,0
82.2,100.0,0
63.9,96.9,0
97.1,96.1,0
93.9,99.4,0
84.3,97.3,0
71.6,96.9,0
86.0,95.8,0
78.6,97.2,0
91.8,96.2,0
76.8,99.1,0
73.3,97.5,0
62.6,97.0,0
100.0,99.3,0
83.1,98.9,0
94.8,98.8,0
90.4,98.0,0
71.4,98.4,0
93.2,96.1,0
92.1,96.0,0
97.8,97.6,0
81.4,97.7,0
89.5,95.5,0
66.8,98.9,0
90.7,95.4,0
100.8,96.2,0
63.1,99.9,0
76.1,99.3,0
88.9,100.0,0
96.7,99.7,0
100.8,95.8,0
86.6,98.1,0
73.4,99.1,0
87.5,97.6,0
65.9,97.2,0
85.7,97.2,0
71.8,98.9,0
68.2,95.7,0
78.6,99.1,0
76.1,95.3,0
75.5,95.8,0
72.0,99.5,0
72.2,95.4,0
86.8,95.9,0
63.5,96.1,0
69.2,98.2,0
66.0,97.2,0
64.6,99.1,0
87.0,96.5,0
62.6,99.6,0
82.0,96.0,0
87.1,95.3,0
100.0,95.6,0
75.6,96.2,0
62.9,96.0,0
66.8,96.3,0
63.0,99.0,0
88.9,96.6,0
65.1,96.6,0
92.2,98.6,0
68.5,97.6,0
64.6,98.8,0
81.8,96.7,0
84.6,95.2,0
84.5,95.1,0
70.7,97.8,0
63.5,98.8,0
77.2,99.8,0
64.9,99.9,0
77.4,98.0,0
88.9,98.9,0
89.5,95.1,0
63.7,95.4,0
63.4,99.3,0
99.1,96.4,0
68.7,97.9,0
73.8,96.7,0
98.4,97.4,0
100.2,97.3,0
86.6,95.0,0
74.3,99.5,0
77.9,95.0,0
90.9,95.5,0
68.9,99.7,0
98.1,100.0,0
67.4,99.3,0
93.1,98.0,0
81.1,98.3,0
101.0,97.6,0
62.6,95.7,0
69.9,96.5,0
74.0,99.0,0
68.5,96.0,0
67.8,99.1,0
66.8,97.2,0
83.5,97.8,0
86.4,98.6,0
85.2,99.2,0
68.0,98.4,0
72.8,99.1,0
69.1,97.4,0
78.3,95.4,0
81.0,98.7,0
80.8,95.6,0
86.6,98.1,0
93.5,97.8,0
70.4,98.1,0
99.0,98.2,0
93.0,97.1,0
99.4,97.8,0
96.2,96.8,0
92.0,96.4,0
71.0,97.0,0
91.2,96.5,0
80.0,96.9,0
62.0,99.0,0
89.8,99.5,0
96.5,97.5,0
95.0,98.0,0
88.0,95.5,0
82.6,98.2,0
84.0,97.6,0
78.0,96.3,0
62.6,96.2,0
68.9,98.9,0
80.3,95.3,0
85.6,97.2,0
78.3,97.5,0
67.8,97.7,0
79.0,99.5,0
89.4,95.0,0
82.7,96.9,0
90.9,96.6,0
72.5,96.1,0
86.3,96.4,0
81.0,97.5,0
92.7,99.3,0
63.9,99.7,0
92.6,95.2,0
62.4,99.4,0
71.0,98.0,0
86.3,97.0,0
85.1,98.3,0
87.2,96.3,0
66.2,95.4,0
88.1,97.8,0
90.3,95.9,0
81.7,95.6,0
63.0,99.9,0
95.5,97.7,0
90.6,98.3,0
88.4,96.8,0
93.2,95.6,0
79.5,95.9,0
93.5,97.7,0
94.8,97.3,0
95.3,98.0,0
98.7,99.3,0
77.2,99.1,0
84.6,97.1,0
79.2,96.8,0
66.3,95.8,0
75.6,96.7,0
81.1,97.3,0
74.0,99.4,0
64.1,98.4,0
78.9,99.7,0
71.0,99.3,0
73.4,95.4,0
90.1,98.6,0
72.9,96.2,0
94.6,95.1,0
94.7,98.1,0
61.5,99.5,0
67.3,99.1,0
66.0,99.2,0
84.3,97.8,0
97.7,97.6,0
76.4,97.8,0
94.0,98.5,0
98.5,95.2,0
81.5,96.0,0
75.4,95.8,0
78.1,95.7,0
69.5,97.4,0
79.7,95.1,0
77.0,95.6,0
80.0,98.4,0
99.9,97.9,0
94.8,99.8,0
86.7,96.3,0
100.2,95.8,0
81.4,96.5,0
66.3,97.2,0
63.9,97.3,0
68.9,97.7,0
61.2,99.8,0
64.1,95.2,0
68.7,99.1,0
70.5,98.7,0
100.4,95.0,0
83.2,98.4,0
100.1,96.9,0
92.4,97.4,0
85.1,96.3,0
84.4,99.1,0
67.8,97.1,0
62.6,99.6,0
65.9,96.2,0
82.2,98.7,0
83.7,95.8,0
62.5,96.9,0
61.8,98.8,0
65.8,97.0,0
99.5,98.3,0
73.9,98.6,0
88.6,98.2,0
77.9,99.2,0
62.3,96.9,0
88.9,97.3,0
67.8,98.6,0
92.3,95.6,0
77.1,99.7,0
81.1,98.3,0
82.3,95.2,0
61.9,98.6,0
93.7,96.9,0
80.9,96.4,0
64.1,96.8,0
88.3,95.9,0
62.9,95.3,0
75.4,96.1,0
86.2,96.2,0
91.5,95.4,0
86.3,99.1,0
67.9,97.8,0
65.7,99.5,0
77.9,95.8,0
68.6,97.0,0
63.1,97.1,0
86.0,99.9,0
74.2,98.1,0
68.6,96.6,0
97.7,98.3,0
62.4,98.5,0
84.5,98.7,0
80.4,98.1,0
81.2,96.8,0
96.2,98.3,0
67.1,98.4,0
68.3,99.4,0
62.6,97.0,0
76.3,98.0,0
73.9,95.7,0
64.5,95.4,0
92.7,97.7,0
91.8,97.7,0
79.7,96.4,0
96.2,95.5,0
95.4,97.0,0
82.2,97.8,0
80.7,97.8,0
61.7,97.7,0
91.4,99.4,0
73.2,99.5,0
97.5,99.3,0
90.4,98.7,0
85.0,96.8,0
69.3,99.3,0
84.3,98.0,0
91.3,99.5,0
76.7,95.9,0
89.0,97.0,0
72.4,99.5,0
71.4,98.2,0
78.4,95.6,0
66.0,96.1,0
82.3,99.3,0
95.9,96.8,0
90.4,97.0,0
73.7,99.3,0
75.4,100.0,0
77.0,99.1,0
100.9,97.9,0
65.7,98.5,0
76.1,98.1,0
73.2,95.1,0
78.2,95.4,0
82.7,97.4,0
74.7,96.9,0
66.6,98.2,0
65.9,95.6,0
61.3,96.4,0
76.6,96.3,0
67.9,97.4,0
71.8,99.5,0
72.6,99.7,0
75.3,96.5,0
76.3,96.2,0
87.1,96.1,0
74.3,95.3,0
86.0,98.6,0
89.4,98.2,0
79.1,99.1,0
82.1,97.3,0
93.4,98.7,0
64.9,96.4,0
88.4,98.2,0
76.2,96.1,0
76.9,95.8,0
71.1,95.3,0
83.5,96.2,0
94.9,97.5,0
79.2,97.4,0
81.4,95.5,0
80.3,99.0,0
95.5,96.8,0
76.3,96.1,0
98.8,96.3,0
82.5,98.9,0
82.7,96.7,0
98.6,96.2,0
99.5,99.3,0
63.8,99.3,0
87.3,95.4,0
89.8,96.4,0
66.0,99.0,0
73.3,99.5,0
77.5,98.4,0
85.5,95.9,0
78.1,97.8,0
88.7,97.9,0
91.1,98.0,0
87.0,98.7,0
73.6,97.2,0
71.0,97.1,0
87.8,97.8,0
78.2,99.7,0
81.1,96.7,0
80.4,96.4,0
92.0,96.0,0
77.2,96.7,0
70.5,95.5,0
66.6,99.3,0
93.0,97.1,0
86.5,99.8,0
94.1,99.9,0
65.0,99.6,0
99.6,96.9,0
67.9,95.7,0
63.1,96.9,0
98.9,96.7,0
100.3,95.7,0
77.7,95.5,0
87.2,99.1,0
83.7,97.0,0
96.9,98.3,0
64.3,98.9,0
77.8,99.2,0
88.3,98.7,0
77.8,96.5,0
70.6,97.9,0
66.6,96.9,0
92.7,97.0,0
62.3,95.1,0
77.6,97.9,0
71.0,98.5,0
88.1,97.3,0
78.8,99.8,0
91.0,95.8,0
84.2,95.5,0
94.2,97.4,0
73.7,96.8,0
71.4,96.3,0
75.4,95.8,0
71.0,97.1,0
67.9,97.1,0
74.6,96.3,0
99.9,97.6,0
72.1,98.5,0
78.2,95.4,0
65.9,98.1,0
85.5,96.3,0
74.4,95.6,0
69.5,97.4,0
88.4,98.1,0
100.7,97.6,0
84.8,97.9,0
79.7,97.2,0
69.0,95.8,0
87.5,97.4,0
61.4,99.7,0
93.0,97.8,0
96.4,95.1,0
96.9,95.5,0
63.7,96.5,0
84.9,96.3,0
75.6,98.7,0
95.7,95.7,0
100.4,99.5,0
61.6,96.2,0
98.8,99.8,0
95.5,99.9,0
64.0,99.0,0
62.9,96.9,0
85.1,97.7,0
68.3,99.7,0
82.8,99.1,0
96.9,98.6,0
83.8,96.2,0
76.5,99.7,0
82.6,96.3,0
97.7,97.0,0
94.0,98.3,0
83.7,95.5,0
78.7,99.6,0
78.1,96.9,0
99.9,95.2,0
81.8,97.6,0
86.7,95.1,0
92.7,99.6,0
87.3,99.2,0
80.4,98.4,0
73.7,96.2,0
67.6,98.0,0
88.4,99.7,0
74.6,99.2,0
71.7,97.0,0
62.9,95.9,0
87.2,98.3,0
67.9,97.4,0
93.9,99.4,0
75.4,99.7,0
96.8,97.9,0
62.2,96.5,0
76.0,96.3,0
73.2,97.3,0
81.4,97.8,0
67.0,97.5,0
85.3,95.4,0
89.5,97.6,0
73.3,98.1,0
75.8,99.0,0
76.5,96.5,0
100.6,98.9,0
62.8,95.1,0
68.6,96.9,0
85.0,97.0,0
80.6,96.4,0
92.0,96.2,0
71.9,95.5,0
70.3,96.0,0
70.7,95.4,0
94.3,98.7,0
86.8,96.0,0
74.8,99.7,0
81.6,97.7,0
101.0,98.1,0
68.4,95.0,0
90.0,97.7,0
68.3,97.8,0
72.9,97.9,0
90.0,98.1,0
62.8,97.9,0
81.7,99.3,0
82.9,97.6,0
79.3,96.9,0
74.7,96.0,0
76.5,95.1,0
96.5,96.6,0
72.8,98.1,0
100.3,98.4,0
80.8,99.4,0
62.6,99.8,0
96.4,98.2,0
80.5,98.2,0
78.1,97.6,0
81.2,98.4,0
92.3,98.1,0
76.7,95.9,0
67.1,98.0,0
89.5,100.0,0
64.6,95.1,0
91.6,97.9,0
81.6,96.4,0
76.4,96.3,0
70.9,97.6,0
74.0,99.1,0
81.1,97.8,0
98.5,99.6,0
79.9,95.8,0
71.2,99.4,0
61.0,98.5,0
61.1,95.3,0
86.9,95.1,0
82.5,96.5,0
66.1,95.6,0
96.0,99.0,0
91.0,98.6,0
67.8,97.3,0
82.1,99.9,0
80.1,96.7,0
96.8,95.6,0
78.9,96.7,0
84.5,96.8,0
89.4,97.8,0
80.7,99.7,0
66.2,96.9,0
61.6,98.7,0
99.8,97.5,0
99.2,96.2,0
76.2,96.1,0
98.4,99.5,0
68.5,98.5,0
92.4,99.4,0
63.7,97.2,0
87.3,95.1,0
71.8,96.9,0
79.8,96.2,0
61.4,98.3,0
79.3,99.4,0
88.2,95.7,0
74.5,97.5,0
96.0,98.1,0
97.4,99.5,0
75.6,96.3,0
68.4,99.2,0
68.4,98.6,0
72.8,95.1,0
76.3,99.1,0
99.4,96.8,0
84.9,98.1,0
94.0,99.3,0
64.1,99.1,0
92.2,95.8,0
69.9,95.7,0
92.4,97.4,0
67.8,99.0,0
90.3,99.2,0
95.8,97.1,0
88.0,97.6,0
84.5,95.1,0
98.0,99.7,0
70.4,103.3,1
82.8,103.7,1
96.6,106.1,1
63.6,106.1,1
91.2,108.4,1
90.6,101.3,1
72.6,106.5,1
87.2,103.1,1
95.6,102.0,1
92.4,103.9,1
85.6,102.1,1
68.1,104.9,1
76.2,102.9,1
87.5,104.0,1
82.1,109.9,1
83.3,108.6,1
73.6,103.0,1
73.4,101.4,1
69.2,108.3,1
70.2,104.0,1
84.4,109.1,1
61.2,105.0,1
76.1,104.6,1
66.2,109.6,1
66.7,109.2,1
73.6,107.5,1
78.6,101.7,1
87.9,104.5,1
72.0,106.5,1
75.8,108.4,1
67.6,107.1,1
100.4,106.9,1
65.7,102.0,1
89.1,105.8,1
80.2,109.7,1
71.0,101.6,1
85.7,107.0,1
73.2,108.0,1
83.0,101.2,1
83.0,108.5,1
80.0,106.9,1
81.2,102.1,1
61.0,101.1,1
61.1,102.2,1
95.6,109.9,1
70.5,102.3,1
90.1,109.8,1
87.2,109.0,1
77.2,107.5,1
62.9,103.4,1
69.5,109.5,1
63.0,108.5,1
84.4,109.2,1
85.1,103.5,1
89.9,102.4,1
68.4,108.2,1
92.2,107.0,1
82.3,105.2,1
81.0,103.9,1
86.7,107.3,1
77.6,101.4,1
83.0,107.1,1
97.2,107.0,1
78.4,109.7,1
78.6,108.9,1
91.4,109.5,1
80.9,102.6,1
96.8,105.1,1
96.2,106.1,1
67.9,106.9,1
76.2,105.5,1
85.3,107.3,1
80.9,108.0,1
62.3,109.5,1
67.1,107.5,1
88.5,102.7,1
63.3,102.2,1
99.7,109.3,1
69.9,109.9,1
70.2,101.6,1
81.4,105.1,1
69.3,106.9,1
89.2,109.3,1
94.5,103.4,1
98.9,103.0,1
91.4,106.0,1
89.6,108.0,1
100.3,102.1,1
75.6,107.0,1
79.8,109.2,1
85.5,106.9,1
78.9,108.1,1
95.6,107.9,1
96.9,107.6,1
80.5,106.7,1
84.3,109.3,1
90.3,107.4,1
74.5,101.1,1
62.0,104.7,1
100.9,109.5,1
61.7,106.2,1
82.2,107.3,1
81.6,108.5,1
71.1,104.5,1
70.0,103.8,1
91.2,108.9,1
99.1,102.1,1
91.8,109.9,1
91.3,103.0,1
87.9,109.7,1
80.0,104.8,1
84.9,103.4,1
89.3,108.7,1
81.3,104.9,1
73.3,106.4,1
91.0,102.0,1
83.3,108.2,1
61.9,104.0,1
100.8,102.2,1
67.7,105.2,1
81.0,108.7,1
79.1,101.3,1
76.9,109.6,1
92.6,108.0,1
79.7,109.5,1
71.4,105.5,1
92.4,101.3,1
93.1,105.0,1
86.8,107.0,1
75.9,108.6,1
81.3,103.4,1
79.8,107.8,1
78.4,101.8,1
100.2,105.6,1
85.5,107.2,1
68.5,107.0,1
69.0,102.0,1
97.1,105.0,1
99.8,109.3,1
89.5,107.5,1
89.5,108.9,1
100.4,107.8,1
66.9,104.3,1
84.3,103.2,1
86.7,109.9,1
68.0,101.7,1
69.0,105.6,1
66.2,101.7,1
77.1,107.9,1
82.0,104.0,1
65.1,105.8,1
90.8,103.2,1
78.3,105.8,1
62.4,108.4,1
65.7,104.7,1
89.5,101.1,1
73.4,101.2,1
100.9,109.8,1
98.1,106.3,1
87.3,109.2,1
72.7,106.7,1
93.4,105.3,1
62.2,104.0,1
80.2,109.4,1
87.7,105.9,1
67.5,105.9,1
98.3,102.4,1
73.3,103.4,1
87.3,102.1,1
83.3,105.2,1
80.5,103.0,1
95.2,105.3,1
97.2,101.3,1
71.1,104.2,1
90.7,109.4,1
70.2,102.7,1
81.8,106.7,1
90.0,102.9,1
97.6,109.4,1
86.7,106.0,1
66.1,104.1,1
62.0,103.1,1
76.1,101.3,1
89.5,108.2,1
91.8,101.3,1
100.8,101.3,1
64.0,109.4,1
63.9,102.6,1
66.7,107.2,1
73.9,103.2,1
87.2,104.3,1
97.0,102.8,1
65.7,104.4,1
84.5,109.4,1
76.9,104.1,1
82.8,108.4,1
98.6,102.2,1
79.2,109.2,1
75.0,105.1,1
75.8,108.3,1
82.6,110.0,1
100.3,105.6,1
98.8,103.9,1
66.2,103.9,1
100.5,107.0,1
93.0,109.8,1
92.4,103.4,1
72.5,107.4,1
74.1,106.9,1
78.4,101.1,1
72.0,105.9,1
78.4,108.9,1
94.6,101.5,1
100.2,106.1,1
87.0,106.7,1
95.5,107.7,1
74.9,102.3,1
65.1,108.9,1
97.1,108.0,1
69.3,106.9,1
70.5,104.4,1
64.7,106.7,1
76.6,102.7,1
65.4,106.2,1
73.0,104.0,1
98.5,104.1,1
99.2,102.4,1
100.1,106.5,1
98.8,107.8,1
99.5,108.4,1
89.1,107.1,1
63.4,106.9,1
81.4,108.8,1
68.9,101.1,1
62.9,103.0,1
85.2,102.9,1
68.3,101.8,1
99.0,103.6,1
64.3,106.4,1
61.7,105.4,1
94.8,102.9,1
63.6,105.9,1
84.9,101.4,1
73.4,107.3,1
80.7,106.0,1
85.1,105.0,1
76.0,102.1,1
76.4,108.3,1
73.9,103.2,1
64.2,103.6,1
70.4,101.3,1
76.3,101.9,1
91.5,106.8,1
79.1,109.4,1
77.8,104.2,1
78.6,107.3,1
77.5,106.3,1
72.7,103.0,1
74.4,106.3,1
78.1,106.4,1
62.9,109.6,1
67.6,101.6,1
97.0,108.3,1
68.3,107.6,1
76.1,103.6,1
93.2,106.5,1
64.9,105.1,1
61.9,109.4,1
91.9,103.0,1
81.2,104.1,1
71.6,109.3,1
80.7,108.0,1
72.8,102.9,1
68.0,106.8,1
61.1,102.5,1
94.5,103.6,1
92.0,105.3,1
71.6,107.3,1
64.3,105.3,1
98.0,101.9,1
74.8,104.8,1
69.7,105.7,1
87.9,104.4,1
100.8,107.1,1
77.8,107.5,1
99.5,106.9,1
66.2,108.5,1
100.9,102.1,1
92.0,102.5,1
69.3,107.3,1
79.2,108.0,1
89.1,108.3,1
98.8,102.4,1
69.6,104.2,1
90.9,106.0,1
86.6,107.3,1
73.7,101.8,1
96.6,104.5,1
81.2,101.3,1
94.2,102.5,1
73.4,106.9,1
64.9,105.8,1
93.4,108.6,1
77.6,109.3,1
94.6,101.5,1
66.9,107.3,1
95.2,108.6,1
63.3,107.3,1
92.1,108.4,1
77.5,105.7,1
80.5,103.0,1
96.3,109.2,1
89.5,106.3,1
70.9,103.2,1
68.5,103.6,1
98.3,104.5,1
96.8,105.6,1
85.9,109.5,1
99.1,103.6,1
80.4,106.3,1
65.4,107.6,1
99.0,105.6,1
81.7,109.5,1
88.0,102.3,1
80.4,106.6,1
72.4,104.9,1
75.5,104.2,1
78.3,106.2,1
83.7,102.0,1
98.3,109.9,1
71.9,101.4,1
74.1,101.3,1
71.8,108.0,1
70.5,106.1,1
89.6,101.7,1
82.0,102.3,1
80.2,102.1,1
98.9,108.6,1
70.1,108.2,1
73.6,105.7,1
62.4,105.4,1
67.0,104.8,1
63.5,107.0,1
66.1,105.1,1
64.3,109.6,1
88.5,106.7,1
79.8,106.4,1
62.4,102.6,1
67.4,104.3,1
88.1,103.4,1
70.5,108.7,1
74.7,107.8,1
70.4,105.0,1
64.9,103.6,1
72.7,106.9,1
95.0,109.1,1
92.5,107.0,1
65.1,103.2,1
62.9,104.9,1
86.6,108.1,1
76.0,104.0,1
92.8,102.1,1
94.0,108.2,1
72.3,107.2,1
70.1,101.5,1
72.3,106.4,1
95.2,103.4,1
87.0,102.4,1
64.9,101.0,1
98.6,104.9,1
78.5,106.1,1
76.4,104.1,1
77.4,106.5,1
64.9,105.2,1
99.5,105.4,1
87.1,109.9,1
68.9,110.0,1
83.2,105.6,1
67.1,105.5,1
92.7,103.4,1
91.4,104.8,1
69.4,102.3,1
78.0,103.6,1
86.0,104.6,1
86.4,102.8,1
86.8,106.4,1
76.0,105.9,1
61.4,109.8,1
74.1,102.3,1
74.7,109.0,1
72.7,102.7,1
70.5,105.1,1
96.1,103.8,1
68.9,102.6,1
100.6,102.2,1
94.0,102.2,1
80.5,102.3,1
65.9,104.9,1
