temperature,rain,light,result
36.1,588.6,337.3,0
39.3,469.3,404.4,0
25.4,517.1,357.7,0
29.0,438.9,457.2,0
34.0,311.7,394.0,0
37.1,551.1,333.2,0
19.9,469.0,162.7,0
22.3,317.4,407.9,0
39.0,311.2,327.0,0
25.6,529.8,355.3,0
34.5,385.9,479.6,0
22.0,347.6,409.7,0
36.9,369.9,150.1,0
19.4,570.8,302.6,0
37.7,359.0,234.1,0
31.9,579.7,372.8,0
19.5,457.6,294.5,0
40.1,417.7,342.6,0
26.9,348.0,198.1,0
30.4,314.8,376.0,0
20.3,313.7,184.1,0
29.5,386.3,302.9,0
37.3,345.3,159.1,0
19.7,435.4,503.2,0
40.4,413.9,322.2,0
19.4,598.1,193.9,0
21.6,469.5,537.6,0
27.8,543.5,399.7,0
40.2,322.0,390.6,0
23.7,408.7,500.5,0
31.4,385.2,171.6,0
35.9,318.3,210.6,0
28.1,438.6,536.9,0
35.7,557.2,545.2,0
27.4,309.2,547.9,0
22.2,539.8,505.6,0
38.5,549.5,516.3,0
18.1,479.2,421.3,0
34.0,351.8,197.7,0
32.7,457.4,223.6,0
22.0,510.1,182.7,0
32.0,429.3,481.0,0
37.3,359.2,319.5,0
33.4,403.6,389.0,0
19.2,280.8,532.6,0
33.5,395.1,164.0,0
34.5,511.1,166.6,0
30.2,377.2,186.1,0
39.4,423.2,220.8,0
23.7,470.8,245.2,0
28.4,479.8,456.5,0
34.9,317.1,431.9,0
26.9,547.4,544.1,0
26.8,346.8,146.3,0
37.0,422.3,384.0,0
35.2,292.6,395.7,0
35.6,323.1,452.6,0
29.8,557.3,520.0,0
25.4,390.8,433.7,0
35.7,322.9,446.6,0
18.9,436.0,344.4,0
21.5,429.6,298.2,0
21.1,323.3,160.7,0
40.5,289.6,430.2,0
30.3,572.0,271.0,0
34.3,279.7,486.9,0
35.0,507.7,169.7,0
32.0,508.7,498.2,0
21.5,498.8,176.3,0
34.1,534.2,537.9,0
21.4,258.6,309.8,0
35.2,382.6,521.1,0
37.8,590.9,294.7,0
31.0,291.6,293.1,0
20.2,480.0,298.2,0
28.6,401.8,291.8,0
32.1,573.8,147.3,0
30.8,453.7,253.1,0
20.4,432.3,491.7,0
23.2,562.9,192.4,0
35.3,463.8,411.1,0
30.4,386.3,480.4,0
37.6,577.3,172.2,0
33.9,502.2,361.8,0
22.6,251.2,309.7,0
19.0,488.2,431.6,0
25.7,290.4,451.9,0
28.4,264.9,409.3,0
35.0,577.3,167.5,0
26.3,473.1,316.9,0
32.4,536.7,197.3,0
24.2,508.9,199.0,0
22.5,526.2,492.9,0
31.2,252.5,396.3,0
35.4,297.8,524.5,0
25.3,512.2,382.2,0
26.0,543.8,400.5,0
21.6,254.9,441.9,0
23.5,338.3,502.6,0
33.3,261.0,213.3,0
34.4,492.9,325.1,0
36.5,553.0,145.0,0
31.7,527.4,452.1,0
36.4,492.5,239.5,0
28.7,274.5,499.8,0
18.9,385.9,260.7,0
18.9,586.3,426.5,0
36.5,563.2,380.3,0
35.7,260.6,198.0,0
30.1,465.7,193.3,0
19.8,508.9,267.6,0
27.9,297.8,146.0,0
33.0,277.8,220.6,0
31.1,329.7,373.9,0
23.5,514.1,288.3,0
29.8,328.2,262.6,0
36.4,368.9,248.4,0
19.8,428.2,379.8,0
20.4,454.3,308.9,0
29.2,367.6,412.5,0
28.8,378.4,332.9,0
24.9,424.5,344.2,0
29.8,457.2,152.0,0
26.3,502.1,241.1,0
37.6,582.3,268.7,0
36.1,387.0,260.1,0
26.5,308.1,309.6,0
22.0,551.7,166.7,0
35.6,395.1,343.3,0
19.9,408.5,233.1,0
38.3,251.8,349.2,0
20.1,475.6,140.1,0
25.3,506.9,164.4,0
37.5,303.4,332.8,0
36.6,466.0,253.9,0
24.0,545.1,143.8,0
38.0,441.3,215.1,0
37.0,357.9,412.5,0
36.9,585.9,337.8,0
32.1,395.8,249.7,0
33.9,328.1,163.1,0
33.6,399.5,522.3,0
33.0,464.0,291.8,0
27.1,507.6,350.5,0
22.4,461.0,381.5,0
27.5,375.6,378.3,0
19.2,571.0,457.9,0
20.4,378.6,287.6,0
38.1,544.8,435.8,0
19.7,288.2,149.4,0
29.9,565.1,230.1,0
27.2,335.1,447.1,0
38.9,333.7,448.1,0
21.5,253.7,536.2,0
38.9,550.1,510.2,0
32.6,500.0,539.9,0
35.8,467.6,164.8,0
35.3,287.8,433.3,0
32.5,364.9,426.2,0
38.7,425.8,210.2,0
30.1,441.6,487.6,0
20.7,251.7,294.1,0
19.6,372.0,507.4,0
21.0,591.0,355.1,0
22.6,391.3,286.0,0
18.5,467.8,162.4,0
31.1,260.1,229.9,0
34.9,493.9,313.6,0
20.9,290.8,408.0,0
30.2,365.8,327.0,0
40.6,447.2,368.0,0
18.2,462.0,534.0,0
38.4,305.5,483.0,0
39.3,356.9,535.2,0
28.7,366.2,381.4,0
34.3,393.7,350.7,0
23.5,449.9,399.5,0
38.8,374.4,412.8,0
36.4,506.5,501.7,0
26.0,489.9,287.9,0
33.0,463.8,392.9,0
32.2,478.8,160.1,0
27.8,262.1,378.5,0
35.5,492.7,494.4,0
23.9,567.3,314.1,0
34.8,524.9,184.1,0
20.9,591.7,383.3,0
20.0,252.2,518.0,0
37.1,518.8,433.8,0
35.1,511.7,177.7,0
39.0,534.9,444.9,0
27.0,306.8,219.2,0
26.2,352.6,266.2,0
28.9,527.6,478.9,0
40.6,478.5,457.3,0
31.2,437.9,266.5,0
31.4,297.2,273.9,0
22.3,485.7,464.9,0
23.2,524.6,530.2,0
29.5,427.0,263.8,0
32.7,456.4,299.2,0
29.9,394.3,304.8,0
24.0,371.6,319.7,0
39.9,345.3,284.9,0
36.1,534.7,320.3,0
31.3,401.3,405.4,0
29.5,408.1,500.2,0
28.4,368.5,377.4,0
35.1,310.1,200.2,0
38.0,322.1,215.7,0
26.2,456.3,265.0,0
21.3,435.3,480.4,0
19.9,320.4,525.2,0
36.1,576.5,381.9,0
29.0,360.2,356.7,0
37.8,373.4,355.9,0
23.2,440.7,539.7,0
32.7,294.4,346.1,0
33.7,582.0,395.6,0
33.1,355.7,535.4,0
34.6,400.9,329.5,0
29.5,544.0,477.5,0
39.9,424.6,151.4,0
23.3,501.0,447.6,0
39.5,297.1,271.1,0
31.6,302.4,490.9,0
25.3,426.6,537.9,0
36.2,258.7,209.8,0
20.4,424.0,235.3,0
18.5,450.3,542.7,0
35.5,568.0,391.3,0
31.7,467.4,181.6,0
19.8,452.5,494.9,0
19.3,492.4,448.4,0
39.0,291.4,263.7,0
35.1,537.0,498.3,0
35.2,417.3,402.3,0
32.4,585.1,264.5,0
36.8,278.4,203.6,0
33.7,265.1,474.1,0
25.8,367.1,541.4,0
19.5,377.6,289.3,0
39.7,449.0,246.8,0
34.9,384.0,201.3,0
19.4,274.1,210.1,0
35.7,592.6,543.7,0
29.1,502.5,168.3,0
32.7,260.8,435.9,0
34.5,462.8,258.6,0
19.7,384.3,213.2,0
29.7,597.3,372.0,0
21.6,440.9,444.4,0
19.7,373.4,540.2,0
33.6,558.6,236.4,0
28.3,278.9,405.5,0
33.1,502.9,422.0,0
38.6,588.5,313.0,0
20.8,504.0,281.2,0
28.9,591.9,358.9,0
30.5,378.1,501.7,0
23.7,447.4,166.1,0
29.8,542.1,141.5,0
36.5,344.2,543.7,0
33.7,376.7,461.1,0
20.3,363.4,403.1,0
29.0,330.6,444.6,0
36.9,372.3,194.2,0
34.2,387.4,343.5,0
26.1,292.6,450.4,0
22.1,252.9,425.9,0
32.4,505.8,409.7,0
22.1,426.8,402.1,0
29.0,421.3,340.5,0
23.7,466.1,496.8,0
25.5,555.8,331.3,0
25.9,311.0,307.6,0
37.3,599.0,298.7,0
18.4,455.7,322.4,0
23.1,375.9,266.0,0
32.1,351.2,148.1,0
39.8,300.4,536.7,0
30.4,425.4,317.0,0
40.9,257.6,229.2,0
26.7,317.4,320.2,0
39.8,495.8,327.6,0
38.0,358.9,308.5,0
27.2,343.7,477.3,0
37.2,268.2,424.2,0
18.3,303.6,545.7,0
38.0,565.4,326.2,0
34.6,552.5,401.5,0
34.7,494.3,176.8,0
36.2,460.0,308.3,0
35.0,305.9,220.5,0
18.5,437.9,542.3,0
24.4,549.7,254.2,0
33.9,291.8,294.7,0
28.6,464.5,384.0,0
29.5,599.4,461.3,0
18.5,559.3,231.3,0
29.3,391.7,337.7,0
39.6,541.1,273.0,0
27.6,548.2,326.0,0
20.9,361.8,143.0,0
40.9,536.2,256.6,0
21.5,514.6,263.8,0
22.6,464.6,544.0,0
22.4,451.3,179.8,0
35.8,363.1,388.3,0
34.6,448.5,547.1,0
21.6,549.9,315.9,0
33.6,474.3,317.1,0
33.2,472.4,395.4,0
29.5,262.0,280.8,0
35.4,438.4,496.6,0
18.1,515.8,423.4,0
29.6,493.8,522.9,0
18.7,438.5,482.1,0
20.8,590.1,210.7,0
20.1,423.6,451.6,0
34.8,412.2,510.3,0
26.5,282.7,328.8,0
23.9,453.9,327.3,0
36.4,421.4,406.2,0
20.9,439.7,192.3,0
39.0,427.3,473.3,0
34.6,290.2,535.7,0
39.8,319.2,490.0,0
37.8,477.7,399.4,0
25.7,515.8,213.7,0
21.1,533.7,151.0,0
29.2,565.9,526.7,0
33.7,320.3,320.0,0
32.6,351.3,235.3,0
22.1,426.3,448.4,0
25.1,482.5,332.5,0
38.4,481.5,520.7,0
19.5,286.7,171.9,0
27.4,400.2,191.3,0
39.8,595.9,548.5,0
38.1,598.7,356.5,0
20.5,273.3,380.4,0
25.6,393.9,268.8,0
37.6,395.4,158.8,0
26.0,576.1,233.0,0
38.2,443.9,365.3,0
29.0,512.0,262.6,0
19.0,265.3,215.9,0
33.6,534.1,524.7,0
38.9,551.8,223.1,0
34.1,430.6,178.5,0
19.9,297.4,184.5,0
29.4,318.7,507.9,0
23.9,552.4,415.5,0
37.8,471.8,205.5,0
37.2,519.4,528.4,0
24.3,292.7,204.7,0
37.5,468.9,492.9,0
28.1,316.1,431.9,0
37.0,279.2,518.7,0
37.2,554.2,173.0,0
18.6,497.5,317.2,0
33.2,462.1,303.3,0
35.2,312.4,459.5,0
28.8,479.5,221.4,0
30.0,347.1,448.8,0
29.7,597.7,534.6,0
24.5,375.7,427.9,0
18.4,298.6,174.1,0
22.2,565.9,264.9,0
31.5,375.6,442.9,0
38.6,551.8,143.3,0
27.6,597.3,303.5,0
31.7,595.9,190.7,0
27.5,419.9,166.6,0
35.5,505.2,472.6,0
38.1,363.6,545.7,0
26.6,438.6,202.9,0
21.9,366.7,290.9,0
22.7,494.5,179.7,0
34.9,390.3,459.7,0
25.9,510.5,545.5,0
29.3,505.2,437.1,0
18.7,461.5,499.5,0
35.3,255.3,202.5,0
37.1,448.4,519.9,0
34.6,567.6,493.4,0
36.2,494.0,251.6,0
36.2,508.8,392.8,0
27.4,533.4,239.6,0
33.5,304.6,305.0,0
25.5,333.5,283.4,0
22.7,356.8,340.9,0
20.9,559.0,543.2,0
23.1,587.1,342.3,0
34.4,285.5,471.3,0
34.1,350.7,289.2,0
31.7,507.6,279.9,0
27.3,274.3,146.3,0
38.5,383.8,211.6,0
29.5,314.6,405.2,0
40.9,421.7,320.1,0
32.1,331.4,146.4,0
36.1,256.7,208.3,0
18.7,426.8,490.4,0
27.0,495.1,388.6,0
34.6,508.2,512.8,0
18.1,570.6,528.0,0
38.4,514.6,542.8,0
24.1,530.3,174.1,0
29.6,301.6,210.0,0
22.8,463.6,520.0,0
39.2,598.5,492.5,0
27.3,292.1,278.2,0
24.8,440.9,141.0,0
19.2,416.4,303.8,0
30.7,477.1,441.4,0
18.5,474.0,490.9,0
37.4,370.3,263.2,0
34.9,466.6,276.8,0
26.3,305.3,497.3,0
21.5,383.4,272.0,0
38.7,390.3,147.2,0
34.7,266.3,398.9,0
28.3,399.4,382.5,0
32.8,550.8,332.3,0
26.5,289.2,421.4,0
33.9,548.2,259.2,0
35.0,387.8,499.8,0
35.6,597.3,265.7,0
36.3,392.8,408.5,0
18.2,363.8,413.3,0
29.3,304.5,163.4,0
33.1,333.9,389.9,0
27.1,336.6,328.7,0
40.5,415.8,412.1,0
26.2,366.4,535.5,0
26.6,533.8,283.2,0
34.4,367.1,234.7,0
39.5,510.3,279.7,0
30.8,462.7,436.5,0
18.9,307.2,150.9,0
31.6,345.3,378.7,0
40.7,532.3,353.3,0
19.4,505.8,284.3,0
19.6,537.6,384.0,0
32.2,505.2,510.6,0
28.6,369.6,547.4,0
33.4,403.0,213.5,0
32.1,416.6,407.2,0
21.4,440.6,426.8,0
32.3,554.2,161.1,0
36.2,537.3,293.5,0
23.1,373.2,418.8,0
40.5,255.8,289.5,0
19.8,490.6,547.0,0
26.6,579.9,425.5,0
28.6,539.2,502.2,0
32.2,588.8,406.2,0
25.8,357.9,221.0,0
31.7,405.4,399.9,0
37.1,310.5,207.2,0
40.4,412.5,222.7,0
36.1,318.4,292.4,0
29.4,481.6,318.2,0
24.5,279.3,376.4,0
19.7,429.0,292.5,0
20.5,509.1,509.5,0
29.5,531.5,535.9,0
28.6,412.8,445.5,0
24.0,386.1,463.8,0
18.6,251.3,421.6,0
29.5,427.0,216.2,0
19.7,378.1,365.1,0
38.6,263.6,405.5,0
23.3,303.4,313.2,0
29.8,452.9,153.5,0
39.7,519.9,407.6,0
29.7,560.8,187.8,0
39.2,542.4,456.1,0
34.1,515.8,496.2,0
27.6,399.6,402.1,0
19.0,567.4,319.9,0
39.3,535.6,532.0,0
26.4,477.0,449.7,0
26.5,420.1,297.4,0
27.9,445.4,435.1,0
38.1,445.6,525.9,0
26.0,355.1,514.5,0
27.0,550.2,193.9,0
25.1,278.6,370.2,0
38.4,280.9,255.7,0
31.2,287.4,267.1,0
20.5,306.7,278.0,0
28.4,463.3,144.4,0
21.7,472.2,208.9,0
23.1,570.2,142.8,0
38.1,519.3,222.8,0
34.8,570.0,193.5,0
39.2,448.4,530.5,0
22.6,342.7,164.4,0
40.7,282.0,337.2,0
20.7,391.6,488.0,0
38.9,252.4,544.6,0
20.9,324.6,230.0,0
31.9,556.2,430.6,0
32.2,398.9,412.5,0
33.3,277.5,428.3,0
18.9,260.1,146.2,0
40.0,518.4,540.0,0
24.4,557.4,193.5,0
26.9,403.6,328.2,0
33.0,504.8,444.0,0
28.3,467.2,222.4,0
34.7,408.3,174.8,0
18.0,407.7,522.6,0
36.2,426.3,260.7,0
18.7,584.4,337.0,0
34.1,348.2,448.4,0
38.5,453.7,433.0,0
30.9,400.5,224.8,0
19.4,319.6,485.1,0
23.1,350.6,377.8,0
29.4,509.5,378.8,0
28.1,540.4,307.7,0
26.5,454.1,535.5,0
34.9,487.4,211.3,0
25.2,399.2,238.8,0
26.8,320.1,201.4,0
30.7,493.5,505.6,0
22.0,279.2,263.2,0
19.9,307.7,351.3,0
38.2,373.7,339.7,0
18.4,498.7,372.7,0
29.0,483.1,446.8,0
32.8,510.0,197.1,0
19.0,311.3,286.6,0
22.1,427.2,515.7,0
29.8,322.7,334.6,0
26.9,320.8,445.7,0
22.2,373.5,354.5,0
29.3,495.3,489.1,0
26.5,572.4,309.0,0
29.9,397.7,517.9,0
24.8,295.7,443.3,0
28.5,370.0,484.0,0
32.3,435.5,232.0,0
25.4,298.0,477.5,0
40.5,309.8,536.8,0
36.6,559.0,380.8,0
25.9,400.1,290.1,0
36.5,579.9,492.3,0
34.0,344.4,199.2,0
40.1,451.6,293.6,0
29.0,410.3,236.2,0
29.3,312.0,308.4,0
27.8,513.1,301.6,0
24.6,293.6,296.3,0
22.8,475.9,349.6,0
40.1,408.9,149.1,0
33.0,425.9,432.3,0
19.8,394.5,241.9,0
21.8,304.5,277.1,0
36.0,440.7,516.4,0
38.9,314.2,277.9,0
33.7,508.4,536.4,0
33.6,529.1,509.5,0
22.1,501.7,353.0,0
28.6,328.6,529.6,0
26.3,436.1,316.5,0
28.3,414.1,187.3,0
38.4,596.4,316.4,0
25.5,401.0,427.8,0
32.7,406.7,415.5,0
29.5,582.4,474.3,0
22.0,354.3,258.8,0
39.0,494.4,286.5,0
32.2,280.1,447.1,0
38.4,254.9,217.0,0
37.3,307.0,375.3,0
18.6,278.4,359.0,0
21.7,401.5,222.2,0
40.4,455.4,520.9,0
26.4,304.0,291.8,0
30.5,462.2,230.9,0
18.4,483.1,309.6,0
32.9,524.4,429.5,0
20.9,318.5,155.7,0
33.6,447.2,305.2,0
39.4,575.1,201.0,0
25.9,356.4,291.1,0
39.7,569.1,533.6,0
18.6,291.8,345.5,0
35.7,385.6,461.5,0
39.8,384.1,348.7,0
22.8,462.7,444.2,0
24.4,492.0,537.7,0
32.5,459.4,168.0,0
21.3,532.1,422.2,0
29.6,458.7,250.9,0
20.2,422.9,321.3,0
20.7,506.0,518.3,0
38.2,252.7,188.4,0
18.6,474.8,143.4,0
34.7,377.3,315.2,0
35.7,395.3,532.3,0
24.1,409.8,199.3,0
39.1,410.1,447.7,0
40.3,473.3,323.8,0
28.4,339.4,395.9,0
18.8,542.4,252.8,0
35.6,358.5,332.2,0
18.8,381.4,548.9,0
21.3,521.8,208.9,0
24.0,308.7,512.8,0
21.0,590.3,323.1,0
39.1,541.9,282.9,0
35.1,289.9,222.9,0
36.1,362.3,165.3,0
18.5,287.8,424.6,0
25.8,318.9,310.9,0
33.9,564.0,193.8,0
28.8,460.9,529.6,0
35.6,554.9,340.1,0
36.9,497.9,149.1,0
27.3,361.6,233.7,0
23.0,356.5,514.6,0
34.8,568.3,308.0,0
36.3,438.4,365.5,0
30.3,356.8,465.2,0
18.1,343.9,242.6,0
18.9,333.3,337.0,0
40.8,323.5,354.7,0
31.9,516.0,197.9,0
20.7,368.1,344.6,0
20.8,522.4,149.3,0
31.4,490.7,417.4,0
37.1,539.1,515.8,0
23.0,493.0,501.1,0
23.8,476.3,446.1,0
34.7,415.4,349.1,0
40.3,369.2,536.7,0
37.8,279.6,415.0,0
31.3,263.7,282.1,0
37.8,376.7,296.7,0
36.3,593.0,533.5,0
38.2,554.2,153.6,0
35.0,543.9,211.1,0
29.9,448.6,440.7,0
22.1,571.2,446.8,0
32.9,336.2,300.3,0
20.1,565.7,398.5,0
37.5,339.5,443.0,0
40.4,421.7,342.6,0
19.1,555.3,524.7,0
24.7,498.8,331.8,0
34.2,555.0,148.9,0
39.8,567.7,312.7,0
26.7,503.0,190.6,0
27.4,486.4,458.7,0
24.0,347.5,151.9,0
30.2,308.4,254.5,0
19.4,268.4,461.1,0
35.0,583.3,423.2,0
29.2,530.3,266.5,0
33.2,493.5,159.2,0
36.3,555.0,160.9,0
34.4,342.5,348.1,0
23.7,498.9,219.1,0
39.1,493.1,155.0,0
32.7,421.9,146.2,0
40.2,567.7,312.5,0
33.1,555.9,257.7,0
33.0,489.8,157.8,0
22.5,292.5,491.9,0
31.1,324.7,479.8,0
19.6,260.2,335.1,0
30.1,299.9,368.7,0
33.1,431.3,323.4,0
25.5,324.2,522.1,0
38.4,305.7,208.3,0
32.9,336.2,291.2,0
36.1,432.8,432.3,0
38.8,357.7,140.3,0
36.8,315.5,218.2,0
22.4,561.9,374.2,0
34.8,280.3,515.6,0
21.5,306.9,493.9,0
19.7,513.0,358.2,0
19.8,491.3,456.6,0
26.9,503.8,401.8,0
30.8,257.9,406.1,0
28.3,528.8,549.2,0
32.9,294.3,535.7,0
25.1,486.9,267.9,0
26.6,581.5,480.3,0
19.1,344.4,252.1,0
32.2,395.4,179.1,0
23.0,457.1,190.6,0
34.5,542.1,218.4,0
28.9,411.2,547.6,0
29.0,356.1,500.4,0
22.3,355.2,286.5,0
28.9,253.7,537.9,0
32.8,409.8,350.7,0
33.5,307.3,263.3,0
23.7,479.8,496.6,0
33.6,580.5,536.1,0
38.0,441.2,298.1,0
34.7,391.1,399.4,0
30.2,409.9,415.1,0
26.6,311.8,355.7,0
40.7,504.0,470.0,0
27.1,570.8,387.7,0
38.3,491.3,152.5,0
23.2,501.4,460.7,0
39.0,420.4,497.4,0
19.5,569.7,348.7,0
37.9,482.4,267.5,0
24.7,411.4,146.8,0
22.4,448.9,421.5,0
21.8,452.6,506.0,0
27.5,536.4,549.3,0
39.9,395.6,378.4,0
31.5,367.3,225.6,0
33.0,394.3,309.9,0
20.3,367.7,197.0,0
25.9,395.3,409.0,0
40.1,374.3,297.6,0
39.2,452.5,161.1,0
22.9,488.1,168.0,0
23.4,279.4,424.7,0
38.7,559.3,438.3,0
29.8,543.5,267.5,0
34.8,490.4,358.6,0
29.2,259.4,250.6,0
27.7,289.4,205.8,0
27.3,566.9,421.9,0
29.5,355.2,449.2,0
18.7,404.6,525.1,0
26.0,406.6,285.4,0
32.2,513.4,304.0,0
33.9,451.5,548.6,0
24.9,487.3,459.3,0
39.8,547.7,356.1,0
19.1,501.7,206.9,0
40.2,409.4,154.1,0
22.9,288.0,258.8,0
28.5,305.5,174.6,0
24.4,251.5,261.0,0
40.6,352.9,314.3,0
38.4,306.6,403.2,0
21.9,377.8,163.6,0
34.5,557.3,374.4,0
33.7,257.4,170.6,0
34.5,542.5,418.7,0
28.5,412.2,503.4,0
30.6,282.1,326.7,0
31.4,267.5,501.1,0
30.8,583.3,233.2,0
19.5,409.2,335.9,0
24.9,521.0,187.8,0
20.7,297.0,543.0,0
25.6,554.2,167.3,0
39.3,316.5,253.9,0
38.0,330.8,196.3,0
26.2,474.0,368.7,0
23.2,278.9,471.6,0
23.2,328.2,239.2,0
20.7,316.1,179.8,0
24.2,383.5,536.1,0
30.3,251.8,521.9,0
37.9,454.5,326.4,0
38.3,459.9,476.0,0
23.0,547.5,430.6,0
33.5,413.2,365.3,0
36.9,370.6,461.4,0
37.2,362.3,322.6,0
19.7,402.0,493.4,0
39.4,442.4,258.1,0
25.3,497.9,519.1,0
26.9,471.8,494.6,0
27.1,543.6,400.3,0
31.0,574.9,463.1,0
18.2,328.8,276.3,0
22.2,418.5,164.4,0
23.5,484.4,165.1,0
18.6,274.2,299.6,0
29.7,585.5,170.3,0
18.8,332.2,146.2,0
36.1,542.2,393.6,0
21.7,586.9,382.0,0
20.5,385.4,395.5,0
24.3,354.1,259.7,0
32.0,573.9,521.3,0
40.7,501.3,163.0,0
19.0,474.7,259.5,0
22.1,436.5,314.7,0
34.3,356.5,146.9,0
24.1,565.9,155.3,0
24.3,302.6,390.0,0
25.1,573.2,490.5,0
31.7,474.1,300.2,0
26.1,454.9,293.3,0
23.3,430.7,169.8,0
20.6,379.2,252.0,0
21.5,302.9,511.9,0
34.4,551.7,526.2,0
40.5,315.4,158.7,0
23.1,469.1,384.0,0
39.4,270.4,506.0,0
35.5,430.9,288.9,0
18.1,526.2,384.3,0
36.0,371.7,214.2,0
23.2,349.5,285.3,0
23.9,275.5,192.7,0
33.9,416.9,221.0,0
20.4,498.4,540.3,0
35.2,573.3,200.7,0
