co,air,result
42.3,54.5,0
35.9,49.9,0
50.9,56.7,0
70.8,37.3,0
40.0,37.4,0
60.8,63.0,0
37.1,33.4,0
33.4,40.7,0
50.3,44.1,0
29.5,62.0,0
33.5,49.2,0
45.6,57.3,0
38.6,29.0,0
33.1,36.9,0
33.2,42.7,0
68.0,64.7,0
37.2,60.3,0
33.4,57.8,0
54.8,38.7,0
35.0,31.1,0
44.7,67.2,0
64.5,67.6,0
55.1,63.5,0
56.6,56.6,0
54.1,48.3,0
63.0,29.8,0
44.5,57.1,0
42.7,54.4,0
33.8,44.7,0
32.6,45.1,0
69.8,47.3,0
34.0,44.4,0
41.0,49.5,0
63.5,62.0,0
33.5,49.1,0
40.8,61.2,0
45.6,64.4,0
57.1,46.6,0
50.1,52.6,0
70.3,44.0,0
59.8,64.8,0
58.2,46.5,0
29.4,37.0,0
69.6,56.8,0
56.6,40.0,0
63.4,51.3,0
61.3,34.3,0
45.6,69.5,0
60.7,68.6,0
41.1,58.1,0
63.7,67.0,0
38.3,61.5,0
50.7,62.1,0
47.7,50.2,0
69.1,61.8,0
55.0,55.2,0
49.8,50.9,0
60.1,44.4,0
68.2,42.1,0
60.3,40.5,0
57.1,46.1,0
42.6,52.0,0
46.4,68.8,0
51.0,69.4,0
34.7,60.7,0
68.2,66.1,0
47.5,61.9,0
32.0,67.0,0
57.6,47.4,0
42.1,41.7,0
61.1,56.9,0
67.5,52.5,0
58.5,41.2,0
51.1,55.9,0
36.2,55.7,0
52.6,35.4,0
41.2,46.9,0
40.1,66.8,0
51.6,33.2,0
64.2,54.4,0
39.9,57.7,0
63.9,47.7,0
35.6,54.2,0
56.6,69.2,0
50.6,40.4,0
46.5,55.0,0
56.2,48.5,0
51.4,52.3,0
64.4,41.6,0
53.0,35.1,0
44.1,30.6,0
63.6,56.3,0
62.2,64.2,0
45.0,48.2,0
54.9,34.6,0
45.1,35.1,0
41.6,57.9,0
59.5,60.8,0
40.0,33.5,0
35.6,64.3,0
56.2,68.1,0
61.6,62.9,0
44.7,41.1,0
36.0,59.2,0
31.0,62.0,0
50.9,66.4,0
34.8,35.2,0
50.5,48.7,0
43.2,30.9,0
69.5,59.4,0
46.7,48.5,0
50.6,34.0,0
37.7,69.3,0
61.6,40.4,0
34.2,49.4,0
52.8,69.7,0
56.9,48.8,0
30.0,52.8,0
33.1,55.7,0
59.9,36.4,0
68.5,68.8,0
32.2,36.1,0
48.7,62.3,0
31.1,226.7,1
29.2,104.8,1
41.2,270.0,1
50.3,253.3,1
69.5,142.7,1
31.5,184.4,1
45.4,225.9,1
51.0,82.2,1
70.2,84.6,1
39.6,184.7,1
62.5,157.9,1
43.9,258.3,1
63.5,268.2,1
56.1,277.1,1
34.0,83.9,1
32.0,150.1,1
36.3,200.1,1
50.1,211.1,1
39.7,172.3,1
42.7,145.9,1
64.8,153.5,1
52.3,206.3,1
53.2,273.0,1
65.8,175.0,1
33.9,198.0,1
53.1,117.2,1
64.5,75.5,1
61.1,222.5,1
51.7,82.7,1
29.3,116.4,1
34.6,239.6,1
64.1,222.5,1
32.7,250.0,1
44.3,190.5,1
35.1,279.4,1
65.7,160.4,1
44.4,295.3,1
64.6,88.4,1
60.0,153.4,1
32.8,217.4,1
36.7,212.6,1
30.6,148.6,1
42.6,84.3,1
68.6,153.3,1
54.8,197.8,1
46.2,231.5,1
51.7,297.9,1
43.7,94.8,1
70.4,176.5,1
41.5,202.2,1
31.4,298.0,1
41.4,243.5,1
67.8,226.3,1
49.4,79.6,1
42.4,138.6,1
67.8,249.2,1
58.9,163.6,1
65.7,97.8,1
30.0,78.5,1
32.2,192.2,1
64.9,142.5,1
30.2,286.8,1
38.3,191.8,1
39.3,122.2,1
58.2,147.5,1
58.5,133.9,1
41.9,168.1,1
43.1,190.8,1
44.4,248.6,1
69.2,87.9,1
30.0,150.6,1
46.7,248.6,1
53.8,278.3,1
49.4,255.3,1
29.1,113.7,1
38.2,209.0,1
61.5,95.9,1
59.4,298.0,1
70.4,154.1,1
60.2,222.4,1
47.0,286.9,1
44.0,161.8,1
37.0,210.3,1
35.1,142.7,1
54.1,241.5,1
62.2,283.3,1
65.1,200.0,1
61.1,184.7,1
46.2,205.9,1
67.0,109.4,1
52.8,187.3,1
36.4,96.3,1
68.6,132.6,1
41.9,278.1,1
70.7,186.6,1
44.6,231.1,1
49.2,171.3,1
63.0,261.5,1
49.6,188.5,1
51.0,153.0,1
68.6,100.2,1
54.5,166.5,1
29.3,230.3,1
67.4,252.3,1
49.7,103.1,1
41.8,256.0,1
48.8,137.0,1
52.2,144.0,1
33.3,211.8,1
46.7,219.6,1
56.1,238.0,1
54.8,286.7,1
29.4,294.9,1
32.4,203.9,1
44.0,201.7,1
56.5,125.2,1
36.1,94.3,1
49.2,296.5,1
39.7,128.2,1
51.9,172.0,1
54.7,235.8,1
41.1,210.0,1
50.2,119.2,1
61.0,266.1,1
68.2,173.6,1
70.8,122.3,1
37.8,73.7,1
57.6,265.9,1
65.6,79.8,1
59.3,133.3,1
62.4,260.8,1
59.1,148.9,1
36.4,241.8,1
66.1,125.9,1
70.4,202.1,1
38.4,231.5,1
64.3,175.0,1
40.9,83.8,1
35.3,80.9,1
69.7,202.6,1
64.6,141.0,1
57.1,224.4,1
67.5,246.9,1
35.1,222.2,1
44.2,190.0,1
36.2,198.4,1
52.3,180.5,1
52.4,147.5,1
36.6,103.3,1
43.3,287.3,1
40.2,150.3,1
53.9,246.7,1
43.6,189.8,1
45.7,150.4,1
43.1,237.0,1
31.2,270.0,1
36.4,148.6,1
45.8,207.6,1
69.6,290.7,1
50.6,160.1,1
59.1,197.4,1
64.8,104.9,1
49.5,273.6,1
35.4,147.2,1
30.8,84.9,1
45.5,163.5,1
67.7,121.8,1
68.4,292.3,1
67.5,222.8,1
50.8,166.3,1
69.2,282.2,1
49.0,78.9,1
55.7,276.8,1
56.1,136.1,1
38.1,146.9,1
39.8,230.7,1
50.9,169.2,1
59.9,227.3,1
62.4,74.4,1
56.8,209.9,1
59.7,190.1,1
54.6,84.7,1
45.8,207.2,1
66.3,167.8,1
34.4,217.6,1
34.2,149.3,1
31.9,132.0,1
67.3,160.5,1
33.9,100.9,1
31.2,295.6,1
69.9,243.3,1
63.1,139.7,1
40.4,161.9,1
53.5,289.7,1
67.7,167.8,1
33.0,72.8,1
36.4,234.4,1
36.7,147.4,1
51.8,151.9,1
51.6,120.2,1
35.7,141.9,1
49.5,254.8,1
41.5,258.9,1
49.5,132.2,1
47.2,240.4,1
34.8,166.3,1
53.4,173.3,1
41.2,284.7,1
62.6,240.6,1
33.7,114.2,1
68.1,113.4,1
33.1,205.2,1
70.8,142.2,1
66.9,262.7,1
57.3,255.5,1
33.6,235.0,1
69.5,255.7,1
35.6,295.3,1
70.2,250.9,1
53.2,283.9,1
54.9,222.3,1
49.3,154.7,1
59.8,79.7,1
69.4,149.6,1
31.6,196.5,1
51.4,91.6,1
34.6,237.1,1
37.0,74.7,1
67.4,195.8,1
56.3,168.2,1
33.8,84.6,1
54.2,166.6,1
50.7,250.5,1
47.6,167.6,1
59.3,195.3,1
54.8,288.0,1
49.0,174.1,1
71.0,119.9,1
56.2,241.8,1
39.7,174.6,1
58.3,215.2,1
30.0,119.1,1
56.3,127.3,1
35.5,91.5,1
66.1,221.9,1
46.7,202.7,1
63.4,156.3,1
38.9,72.8,1
63.2,208.3,1
60.6,77.3,1
39.3,77.5,1
31.3,239.0,1
57.0,138.9,1
54.2,177.2,1
61.5,243.5,1
69.4,235.9,1
68.0,139.8,1
55.6,280.5,1
37.5,155.6,1
29.8,251.3,1
47.3,171.1,1
34.9,90.8,1
45.4,90.2,1
34.3,229.3,1
56.1,198.0,1
42.8,192.5,1
45.9,180.4,1
59.5,229.0,1
52.9,223.4,1
32.0,167.1,1
67.7,128.5,1
51.2,111.9,1
49.6,153.3,1
64.5,173.6,1
52.2,144.8,1
55.3,243.8,1
53.1,226.3,1
54.1,193.0,1
69.6,146.8,1
42.1,126.2,1
63.8,266.4,1
33.9,81.7,1
58.6,278.1,1
67.5,146.4,1
49.5,131.7,1
56.3,180.9,1
33.2,155.7,1
42.5,152.9,1
44.8,171.4,1
52.2,238.2,1
64.5,189.9,1
55.9,141.2,1
59.0,221.9,1
46.1,106.1,1
59.3,283.6,1
59.1,259.2,1
61.0,82.1,1
39.1,149.1,1
60.0,240.1,1
59.2,299.3,1
53.4,298.1,1
53.8,232.4,1
64.0,126.9,1
64.7,276.4,1
69.1,115.9,1
41.5,154.2,1
63.4,97.5,1
39.4,237.6,1
68.3,184.4,1
33.2,187.2,1
66.0,166.6,1
44.9,197.7,1
38.2,131.7,1
33.7,229.4,1
58.5,100.8,1
29.3,151.0,1
60.5,143.7,1
54.2,247.3,1
37.6,244.8,1
63.4,226.4,1
68.3,167.4,1
47.0,132.8,1
30.6,100.9,1
40.1,74.8,1
48.3,188.7,1
48.5,253.3,1
36.9,168.8,1
49.8,182.8,1
37.5,215.2,1
53.1,205.9,1
41.8,208.0,1
64.6,184.6,1
31.7,96.5,1
63.5,106.7,1
42.5,266.3,1
40.5,162.2,1
30.1,164.8,1
70.2,125.7,1
36.8,254.4,1
47.2,193.7,1
68.7,103.5,1
57.5,130.7,1
33.0,160.2,1
31.3,234.5,1
63.1,293.0,1
37.7,173.2,1
39.8,92.5,1
37.5,101.3,1
34.7,258.1,1
62.7,142.5,1
39.2,256.4,1
39.5,150.4,1
57.4,125.5,1
58.0,98.8,1
42.5,221.5,1
57.5,210.5,1
68.6,236.4,1
49.0,246.8,1
55.4,283.0,1
60.0,109.2,1
31.6,209.5,1
40.3,254.2,1
66.5,224.1,1
33.5,123.6,1
48.9,102.8,1
58.4,167.5,1
58.5,261.8,1
63.2,99.1,1
34.0,114.2,1
65.0,232.4,1
51.2,81.0,1
65.2,210.7,1
59.8,295.1,1
39.9,86.5,1
66.2,292.4,1
58.7,225.1,1
65.2,140.4,1
47.1,220.0,1
50.3,248.6,1
36.7,217.8,1
39.1,296.1,1
64.7,231.8,1
62.3,150.3,1
31.2,158.5,1
67.4,74.6,1
42.8,181.2,1
60.9,117.9,1
31.9,294.3,1
54.2,85.4,1
40.1,180.2,1
54.5,295.0,1
43.0,141.6,1
32.5,169.5,1
57.0,111.2,1
33.2,154.2,1
58.3,208.4,1
56.5,151.7,1
29.1,249.8,1
