temperature,soil,rain,result
242.7,554.4,21.8,0
376.0,590.1,35.0,0
385.0,362.4,25.5,0
533.7,450.4,37.1,0
378.0,471.3,18.6,0
232.1,448.0,39.2,0
452.8,396.1,23.2,0
126.7,512.9,21.3,0
347.0,482.7,34.7,0
350.4,521.1,21.6,0
421.2,353.5,25.4,0
326.4,412.5,18.0,0
504.2,470.4,30.8,0
314.4,548.2,35.5,0
312.6,377.9,20.7,0
396.3,551.1,29.3,0
306.5,589.5,36.6,0
238.7,566.0,30.8,0
310.0,405.4,21.2,0
534.5,370.2,18.4,0
127.1,371.9,19.8,0
338.6,497.4,36.1,0
141.3,400.7,31.0,0
353.4,443.6,25.7,0
246.2,462.3,22.3,0
445.6,424.0,21.7,0
179.9,361.3,31.0,0
298.6,511.0,31.4,0
210.3,526.5,35.4,0
275.6,517.4,40.8,0
547.7,488.4,24.5,0
276.2,506.7,33.4,0
531.0,570.3,23.4,0
374.5,398.8,32.0,0
192.9,503.4,19.6,0
304.6,367.1,22.3,0
312.1,518.4,27.2,0
472.4,392.6,23.8,0
184.8,446.8,26.2,0
103.2,502.4,20.9,0
168.3,475.2,35.1,0
292.3,412.0,40.0,0
289.5,428.4,19.4,0
335.5,560.8,30.7,0
468.5,532.5,25.5,0
206.5,598.4,26.3,0
203.6,555.8,28.2,0
396.8,447.4,18.1,0
137.1,419.0,36.8,0
347.3,408.8,40.4,0
458.1,479.5,39.0,0
402.0,464.5,34.3,0
331.6,407.4,20.8,0
198.6,370.5,32.4,0
469.5,547.9,19.3,0
359.2,425.9,18.5,0
500.1,528.4,35.2,0
515.4,582.1,34.2,0
491.3,470.3,35.7,0
369.5,439.4,21.2,0
201.3,382.1,23.4,0
481.3,524.4,34.4,0
399.0,533.8,25.1,0
325.8,373.0,23.2,0
291.8,501.8,23.6,0
111.4,485.7,29.8,0
410.8,436.6,32.8,0
295.7,504.4,20.9,0
229.4,434.4,25.0,0
314.5,523.3,26.9,0
208.1,395.2,30.7,0
344.4,525.5,24.1,0
279.7,399.8,23.5,0
525.6,370.4,23.1,0
230.6,527.3,32.7,0
146.1,443.0,31.4,0
357.2,529.6,34.5,0
211.9,568.3,26.5,0
209.3,412.3,39.2,0
459.3,418.0,20.5,0
150.4,408.5,19.1,0
427.8,379.6,40.1,0
171.4,561.0,27.0,0
263.2,546.6,29.3,0
323.2,577.0,34.3,0
363.1,385.9,39.0,0
531.7,504.9,40.1,0
175.2,448.7,39.1,0
263.8,580.9,33.2,0
323.6,541.3,19.7,0
290.6,498.5,22.4,0
170.0,562.4,35.2,0
378.8,411.4,32.7,0
506.5,508.7,34.6,0
315.4,383.3,25.9,0
548.1,518.1,32.1,0
334.0,465.2,35.3,0
304.3,576.0,33.4,0
253.8,592.8,29.1,0
486.1,426.1,36.3,0
481.7,415.2,34.8,0
270.5,395.4,34.8,0
283.4,535.7,23.3,0
294.2,457.3,26.1,0
396.4,433.5,21.4,0
548.5,527.4,34.2,0
165.2,547.7,22.0,0
110.7,557.8,31.4,0
186.1,550.7,25.7,0
336.0,464.6,27.7,0
159.0,460.0,19.3,0
504.4,389.8,22.3,0
102.4,353.8,18.6,0
488.0,589.4,26.2,0
173.2,548.0,27.7,0
300.9,531.0,31.5,0
177.5,558.5,23.7,0
343.9,554.8,29.1,0
461.9,432.2,32.8,0
218.4,377.8,39.7,0
103.7,444.1,36.9,0
114.5,378.8,19.5,0
122.7,533.5,27.5,0
463.1,358.2,33.2,0
265.5,388.4,26.4,0
125.6,526.2,32.5,0
349.0,428.3,23.2,0
515.3,543.8,38.8,0
197.5,395.4,37.3,0
232.8,509.8,36.7,0
188.1,464.0,18.8,0
219.4,432.9,27.4,0
392.8,404.8,30.2,0
154.7,455.0,27.9,0
196.5,529.2,26.0,0
418.5,481.4,20.9,0
254.7,587.8,39.4,0
190.8,454.5,21.0,0
296.9,492.2,27.9,0
397.2,375.2,24.5,0
337.7,504.0,28.4,0
508.7,571.8,31.9,0
494.7,550.6,27.4,0
282.7,416.1,32.4,0
455.9,585.3,25.3,0
144.8,353.8,21.2,0
195.2,533.8,33.4,0
321.0,576.4,20.4,0
300.3,572.5,24.6,0
490.7,482.4,28.5,0
119.8,401.4,30.9,0
473.4,557.9,34.2,0
530.8,455.7,22.3,0
314.3,409.2,29.2,0
513.7,580.5,27.2,0
417.8,493.8,40.9,0
298.4,369.6,25.5,0
191.6,486.2,27.5,0
281.2,382.1,20.7,0
237.9,574.4,35.0,0
118.7,436.9,38.0,0
186.4,549.9,38.7,0
537.3,408.3,29.4,0
329.8,491.3,33.1,0
459.6,584.6,34.4,0
288.0,375.0,28.3,0
156.7,455.6,22.8,0
381.4,376.3,25.2,0
526.3,567.7,19.3,0
353.0,542.2,31.6,0
392.5,486.1,25.4,0
519.7,541.7,28.6,0
358.0,479.1,40.2,0
400.0,477.8,31.1,0
335.9,503.1,38.6,0
360.5,521.4,40.3,0
156.9,598.2,32.0,0
260.4,583.4,34.9,0
209.6,403.6,19.0,0
512.2,491.5,25.6,0
177.0,432.8,18.4,0
334.9,475.7,24.4,0
157.2,577.9,19.3,0
232.5,402.8,18.9,0
121.5,382.8,20.9,0
242.5,574.6,29.1,0
188.2,376.7,25.0,0
427.4,579.9,35.1,0
282.1,379.3,38.1,0
272.0,367.2,38.2,0
527.0,551.4,37.8,0
294.0,569.0,35.3,0
390.1,580.4,23.3,0
215.1,566.0,20.7,0
528.5,480.3,35.8,0
492.6,494.5,35.5,0
521.8,371.9,20.0,0
188.1,580.5,18.5,0
248.9,475.6,37.0,0
309.8,548.8,38.1,0
521.7,427.6,30.0,0
166.3,546.9,24.1,0
325.0,403.2,27.9,0
458.2,492.7,36.6,0
307.9,579.4,28.6,0
119.9,584.0,38.5,0
348.3,383.1,22.9,0
539.0,430.6,35.1,0
186.1,582.9,18.6,0
369.6,464.0,33.4,0
404.4,469.2,32.5,0
333.3,582.5,31.3,0
440.2,529.7,22.2,0
481.9,577.3,32.2,0
425.2,535.5,26.9,0
435.5,437.5,40.1,0
371.2,482.4,27.7,0
352.9,354.0,27.9,0
103.1,490.5,18.4,0
463.0,572.6,26.6,0
497.4,475.8,27.0,0
246.9,395.1,32.7,0
298.9,513.2,26.4,0
404.0,488.3,24.1,0
167.9,487.7,30.8,0
294.6,456.5,26.5,0
500.0,583.5,20.7,0
283.4,554.3,35.4,0
287.6,395.8,37.6,0
346.9,570.3,23.8,0
209.5,424.8,19.9,0
128.7,596.9,26.2,0
480.4,390.7,29.9,0
183.1,438.4,34.4,0
168.4,480.6,20.6,0
329.4,474.9,29.0,0
334.0,502.9,25.6,0
432.1,431.6,21.4,0
187.0,582.6,32.3,0
288.7,489.5,32.7,0
395.4,502.7,26.9,0
438.7,446.6,23.1,0
307.6,395.2,19.9,0
102.2,491.9,27.5,0
241.3,442.3,19.7,0
222.2,399.8,18.3,0
188.3,410.4,40.0,0
356.2,408.3,40.9,0
321.7,451.7,27.2,0
240.4,364.0,34.4,0
302.5,434.4,29.2,0
201.0,502.0,26.2,0
226.6,554.6,28.4,0
320.2,530.0,32.5,0
240.1,375.6,19.4,0
153.1,480.4,21.3,0
345.9,552.7,23.2,0
534.1,453.4,24.0,0
263.4,567.1,20.3,0
512.0,493.5,21.7,0
492.7,535.9,30.7,0
183.8,421.6,21.4,0
236.3,541.2,24.1,0
530.4,532.2,33.3,0
449.5,530.8,21.0,0
177.6,535.9,38.7,0
409.6,539.2,28.0,0
505.3,386.9,20.3,0
512.9,403.5,35.6,0
310.6,397.7,22.6,0
547.3,421.6,20.5,0
481.1,499.8,22.8,0
185.7,455.1,27.1,0
118.3,493.4,30.2,0
299.8,397.2,27.4,0
350.7,362.8,29.3,0
255.6,515.3,27.6,0
207.9,395.4,30.4,0
417.6,504.7,25.6,0
403.1,371.1,19.7,0
543.8,578.9,35.7,0
455.3,528.0,31.6,0
348.8,522.7,36.9,0
537.8,373.5,19.1,0
158.7,526.9,36.0,0
114.6,386.5,34.6,0
295.0,515.5,29.9,0
112.5,547.9,20.4,0
158.9,486.2,39.5,0
287.0,362.9,26.2,0
205.5,484.1,27.3,0
198.1,497.8,26.5,0
180.6,476.7,39.9,0
158.1,381.5,31.9,0
521.7,498.0,28.5,0
283.5,574.0,22.5,0
321.0,376.5,36.5,0
445.6,571.6,28.6,0
105.1,439.1,20.5,0
138.0,558.3,37.9,0
381.2,509.1,34.5,0
283.2,564.5,23.5,0
254.9,495.9,31.8,0
265.8,428.9,35.1,0
348.0,525.1,32.6,0
275.5,503.5,26.9,0
445.5,454.3,18.1,0
255.1,443.1,24.2,0
260.3,385.1,35.3,0
478.3,546.8,26.2,0
346.0,569.1,24.8,0
384.2,409.8,37.4,0
469.0,594.3,38.6,0
142.9,496.0,35.7,0
133.3,420.8,37.4,0
269.6,404.9,40.3,0
355.6,413.0,38.6,0
190.8,524.5,22.2,0
527.7,580.3,36.1,0
299.5,553.1,28.0,0
142.0,577.7,28.3,0
541.0,558.7,29.3,0
117.4,523.4,33.3,0
228.9,573.4,29.7,0
256.2,545.8,38.3,0
165.8,454.4,21.1,0
534.6,595.3,36.9,0
169.8,403.1,33.0,0
116.7,464.6,35.5,0
130.7,539.8,37.1,0
283.9,367.7,18.6,0
435.8,469.7,39.5,0
442.1,418.9,38.7,0
271.7,440.2,33.4,0
121.3,437.3,23.6,0
173.2,429.3,36.3,0
346.5,536.1,39.9,0
274.0,575.0,40.8,0
268.6,547.2,35.5,0
308.4,565.9,35.8,0
429.8,413.1,32.1,0
532.4,520.1,23.6,0
437.8,502.9,19.6,0
369.7,525.9,36.9,0
144.1,540.5,38.8,0
269.0,393.1,18.8,0
280.9,585.5,19.3,0
337.3,591.8,34.8,0
534.2,545.6,26.8,0
257.4,493.0,18.1,0
382.8,487.2,18.2,0
244.8,497.1,34.1,0
448.4,465.5,29.1,0
508.8,434.3,31.4,0
302.4,381.6,18.2,0
284.6,452.4,31.2,0
424.7,448.3,23.3,0
436.3,433.1,29.1,0
534.3,550.9,24.4,0
239.7,410.9,33.4,0
391.3,588.7,38.7,0
124.9,489.2,21.4,0
192.3,406.1,22.8,0
227.5,398.6,35.0,0
140.9,401.1,21.6,0
136.8,358.0,34.9,0
378.5,477.9,32.3,0
160.5,414.2,39.3,0
512.0,580.6,33.2,0
213.7,540.4,28.8,0
175.5,598.6,20.4,0
123.0,381.5,28.8,0
283.6,389.8,26.4,0
480.4,495.7,37.9,0
349.1,390.7,39.2,0
244.1,511.2,20.0,0
212.0,494.2,24.4,0
109.3,544.5,22.7,0
419.8,591.5,21.4,0
276.3,467.1,37.2,0
201.1,375.3,24.3,0
490.1,500.7,19.4,0
404.2,571.2,27.2,0
189.8,555.0,33.3,0
188.4,514.9,32.4,0
415.9,405.1,38.9,0
384.7,493.5,31.4,0
535.7,521.8,26.2,0
531.5,359.2,30.4,0
156.4,454.5,39.7,0
312.1,554.1,19.7,0
373.1,546.9,19.6,0
485.3,467.5,28.9,0
113.0,388.2,30.7,0
209.2,465.3,22.9,0
333.9,442.7,25.2,0
393.6,550.7,20.8,0
154.1,353.9,32.2,0
292.9,536.5,31.4,0
435.6,444.8,34.3,0
333.5,438.7,27.5,0
264.7,476.8,28.5,0
439.7,598.8,19.3,0
523.6,393.5,31.9,0
385.1,571.6,33.3,0
193.0,401.7,28.4,0
120.5,385.8,26.0,0
542.1,407.8,33.1,0
379.3,406.6,25.8,0
331.1,531.1,34.8,0
182.5,372.6,38.2,0
170.9,430.0,35.6,0
462.8,568.6,36.2,0
286.3,420.3,19.4,0
393.1,388.8,30.0,0
519.3,540.0,22.7,0
211.6,413.3,22.4,0
391.8,463.7,20.0,0
249.7,486.9,35.4,0
244.3,353.7,26.1,0
453.3,575.5,19.6,0
528.6,582.0,26.8,0
123.4,469.7,33.8,0
217.8,487.8,29.4,0
523.7,575.1,35.9,0
424.3,476.3,37.8,0
546.0,591.1,34.3,0
140.2,401.0,27.7,0
362.1,531.4,22.1,0
127.6,546.9,29.8,0
325.9,574.2,28.2,0
446.6,385.2,24.4,0
403.2,353.6,26.8,0
503.5,518.5,26.4,0
290.6,537.2,38.4,0
262.5,354.3,20.1,0
466.2,393.2,34.9,0
345.6,589.8,19.1,0
446.1,500.0,38.5,0
482.1,361.3,34.7,0
486.7,452.6,30.1,0
104.6,420.1,28.4,0
123.5,596.6,28.9,0
255.4,373.5,32.8,0
296.0,369.8,36.1,0
335.5,589.8,25.0,0
414.8,517.7,22.3,0
136.6,404.8,27.3,0
418.7,452.5,20.3,0
115.2,409.3,35.7,0
482.3,446.0,32.8,0
379.6,473.3,26.3,0
137.3,380.5,37.9,0
288.4,356.0,25.7,0
362.1,472.6,23.9,0
270.6,525.8,26.1,0
221.2,414.5,41.0,0
130.0,527.0,24.5,0
426.1,494.2,39.6,0
333.2,533.0,18.5,0
481.2,590.9,35.0,0
104.5,372.9,37.7,0
413.0,467.7,22.5,0
457.9,480.5,24.5,0
295.3,524.5,20.4,0
294.3,404.9,21.0,0
130.0,577.9,21.8,0
391.0,446.2,24.8,0
139.5,562.5,22.3,0
466.3,398.4,20.6,0
298.5,574.2,24.9,0
106.5,359.0,38.7,0
533.1,400.9,36.1,0
222.1,497.7,28.9,0
260.0,433.3,24.7,0
509.8,385.4,28.5,0
341.3,477.2,28.8,0
144.7,534.4,25.1,0
391.1,390.7,32.4,0
413.7,599.7,30.9,0
252.1,452.4,39.3,0
185.5,591.9,35.2,0
291.6,546.6,36.1,0
364.6,413.0,22.0,0
418.2,459.5,21.6,0
514.2,431.6,30.5,0
412.1,398.7,19.0,0
120.2,364.5,19.6,0
212.3,453.3,18.1,0
373.2,566.6,21.3,0
105.3,384.6,31.5,0
428.3,544.9,32.2,0
392.3,554.4,36.2,0
175.4,436.3,31.9,0
435.3,379.2,19.3,0
133.1,453.7,33.1,0
393.8,583.8,38.4,0
373.7,383.5,35.6,0
119.9,553.3,29.9,0
189.9,480.0,18.3,0
331.4,482.5,37.6,0
191.2,574.7,29.8,0
420.5,466.7,38.3,0
514.4,444.6,22.3,0
530.4,415.6,26.2,0
140.6,598.0,37.6,0
402.2,439.4,28.5,0
224.6,445.5,39.6,0
285.0,535.1,29.6,0
245.3,356.2,25.7,0
337.3,539.9,39.4,0
474.7,554.8,37.9,0
284.4,352.4,37.0,0
495.3,446.2,31.4,0
261.3,364.0,39.2,0
176.7,355.7,35.6,0
361.5,424.8,20.4,0
131.1,575.2,33.6,0
117.7,453.6,24.7,0
375.2,381.6,32.3,0
189.9,498.3,18.6,0
307.5,586.7,28.8,0
543.4,408.7,37.9,0
190.7,594.8,38.2,0
278.4,518.9,33.6,0
266.2,518.6,35.5,0
140.3,411.2,34.0,0
256.0,396.5,40.9,0
449.8,411.4,23.5,0
125.0,545.7,23.0,0
237.3,384.0,37.5,0
290.2,459.3,33.2,0
385.6,370.1,26.6,0
238.9,580.2,36.7,0
273.3,459.6,27.0,0
375.6,514.6,29.7,0
349.0,533.1,36.7,0
465.1,440.0,21.8,0
455.9,397.2,34.1,0
195.9,448.0,22.4,0
447.8,572.3,36.7,0
286.6,565.1,31.1,0
233.6,391.0,36.0,0
485.2,351.2,39.1,0
432.9,392.3,24.3,0
336.2,439.6,31.5,0
129.2,437.0,24.6,0
150.8,363.9,26.1,0
539.3,420.0,39.4,0
285.4,489.2,18.7,0
494.3,553.7,24.1,0
340.9,417.4,37.3,0
419.2,458.8,36.9,0
472.7,488.3,22.4,0
365.9,363.2,31.4,0
447.0,409.2,21.1,0
492.7,586.7,37.8,0
414.0,438.7,28.3,0
312.1,589.1,36.2,0
157.1,598.0,39.2,0
263.4,356.0,24.8,0
184.1,573.0,19.1,0
155.0,362.5,26.2,0
103.5,554.6,21.7,0
110.6,354.8,22.5,0
464.9,516.7,22.4,0
204.6,378.4,26.3,0
333.3,420.5,31.0,0
285.0,383.4,36.5,0
410.5,408.8,27.0,0
441.6,489.5,32.0,0
185.3,429.6,25.5,0
430.5,406.7,29.5,0
382.0,436.9,20.6,0
507.8,553.8,22.0,0
489.0,383.3,22.0,0
343.4,459.5,23.1,0
386.5,493.8,37.2,0
519.0,465.6,33.5,0
464.4,481.1,18.6,0
474.0,370.6,39.4,0
431.4,401.5,36.0,0
161.8,554.5,39.0,0
397.9,592.0,33.2,0
325.7,534.1,28.7,0
457.0,527.0,32.7,0
325.1,509.9,26.1,0
144.6,574.3,35.7,0
423.7,558.9,27.6,0
520.3,557.4,32.7,0
527.3,522.9,35.9,0
103.0,352.3,38.8,0
481.8,402.0,35.4,0
216.3,534.6,18.9,0
163.8,525.6,33.3,0
196.9,470.5,37.3,0
396.3,506.4,39.0,0
461.8,510.9,35.1,0
530.5,397.9,36.1,0
105.4,534.0,36.2,0
241.7,406.2,35.3,0
245.2,387.1,30.7,0
253.1,567.5,37.9,0
536.9,504.4,33.8,0
344.6,408.0,20.0,0
275.6,472.9,26.2,0
230.1,354.0,25.0,0
354.4,493.8,34.0,0
238.5,395.2,24.5,0
445.3,578.9,19.0,0
247.2,597.0,38.2,0
303.7,352.1,18.7,0
390.4,448.7,29.8,0
381.3,409.4,31.5,0
180.1,505.9,29.0,0
276.2,367.4,27.6,0
365.1,578.9,38.0,0
330.0,451.3,31.9,0
536.3,475.6,27.9,0
375.7,518.6,20.8,0
133.7,479.5,23.0,0
264.2,377.2,20.6,0
237.9,488.2,40.5,0
232.2,503.5,19.7,0
533.5,529.0,30.7,0
157.6,597.8,38.4,0
457.2,363.4,21.5,0
105.7,388.2,19.6,0
316.6,478.2,39.1,0
424.2,454.4,24.4,0
476.4,554.4,34.0,0
163.6,393.2,39.3,0
253.6,576.7,32.0,0
393.4,537.9,40.2,0
457.7,464.4,35.5,0
279.1,373.2,18.3,0
503.0,534.7,35.0,0
258.3,566.8,36.3,0
100.2,496.4,35.1,0
469.4,581.9,27.2,0
224.9,448.0,30.1,0
249.5,370.3,20.5,0
171.8,589.8,31.1,0
255.9,409.7,25.6,0
109.5,580.7,31.7,0
521.6,383.1,23.1,0
302.1,363.7,38.2,0
492.3,597.9,31.9,0
277.8,359.0,22.6,0
422.9,524.5,38.8,0
517.0,381.5,23.3,0
431.4,416.0,26.6,0
238.7,594.8,23.7,0
481.0,358.5,20.4,0
189.6,471.9,33.7,0
386.0,543.0,39.9,0
523.5,572.0,22.3,0
533.7,578.7,37.0,0
316.5,425.6,30.1,0
313.3,517.2,38.6,0
540.1,401.9,29.1,0
132.2,358.6,33.0,0
507.8,465.6,40.7,0
344.1,365.2,26.4,0
425.9,468.9,19.0,0
220.3,379.0,30.8,0
268.9,517.3,34.4,0
154.1,410.9,24.6,0
381.8,531.0,36.8,0
531.2,523.1,29.2,0
144.1,364.9,29.6,0
389.8,363.5,33.4,0
201.1,367.8,27.4,0
359.5,522.4,38.8,0
261.9,545.4,22.3,0
315.5,570.2,28.3,0
352.8,385.0,37.6,0
217.8,566.3,39.8,0
312.9,596.1,23.6,0
220.1,451.9,21.6,0
438.9,440.6,24.9,0
457.2,555.3,21.1,0
397.1,542.4,32.4,0
410.1,403.7,26.5,0
176.7,393.2,38.9,0
303.4,450.1,34.5,0
409.9,372.0,38.3,0
501.9,578.2,30.2,0
395.4,438.4,30.8,0
430.6,375.2,39.3,0
164.9,501.4,33.6,0
394.5,473.1,30.5,0
307.3,542.3,19.0,0
394.6,502.2,31.9,0
113.2,360.7,19.4,0
398.3,415.8,35.3,0
509.6,450.9,31.7,0
355.5,498.3,20.8,0
372.5,430.3,39.9,0
292.5,463.6,21.2,0
461.2,536.8,39.1,0
297.8,450.9,37.4,0
223.6,408.9,18.5,0
238.1,417.8,30.1,0
224.4,545.1,37.3,0
415.2,486.5,38.2,0
254.9,573.2,40.7,0
428.6,394.2,31.9,0
368.2,555.6,35.1,0
105.0,360.2,33.3,0
382.3,427.1,22.1,0
344.9,547.0,31.4,0
273.0,468.5,33.0,0
415.5,354.1,37.1,0
532.1,442.1,29.9,0
515.2,455.5,25.2,0
286.9,543.6,36.1,0
318.1,357.2,26.0,0
483.6,399.5,39.7,0
176.4,452.8,18.9,0
195.0,535.3,27.6,0
127.3,450.4,23.8,0
432.3,589.4,23.5,0
148.5,363.0,35.3,0
142.2,509.4,31.3,0
274.2,484.5,25.0,0
165.3,596.3,18.8,0
126.3,359.4,38.0,0
159.9,410.8,24.6,0
438.2,350.5,19.8,0
337.5,580.5,33.7,0
303.7,417.2,31.0,0
500.0,434.7,40.3,0
201.0,369.0,36.2,0
141.7,485.8,37.2,0
248.3,476.8,20.1,0
251.7,468.6,30.3,0
310.4,439.5,24.2,0
227.5,368.0,35.4,0
128.0,587.1,34.2,0
182.5,555.7,20.5,0
294.9,496.1,38.8,0
315.2,366.6,25.2,0
187.6,431.5,25.2,0
273.2,562.4,36.8,0
428.5,581.2,19.8,0
169.5,364.9,26.4,0
456.0,580.3,18.2,0
205.7,479.9,33.9,0
227.2,490.3,36.5,0
235.1,355.6,40.5,0
541.3,414.6,29.2,0
339.2,403.0,21.0,0
371.2,524.1,22.8,0
163.8,373.6,37.0,0
109.7,423.4,27.6,0
287.4,538.3,38.4,0
161.9,581.2,25.8,0
162.4,351.0,36.6,0
493.6,448.6,30.3,0
301.0,540.7,40.7,0
463.2,516.1,40.7,0
176.5,374.1,38.3,0
300.3,456.8,36.6,0
492.3,352.8,27.3,0
413.5,355.8,26.7,0
269.8,534.0,26.8,0
328.9,412.2,29.4,0
530.6,468.9,31.1,0
157.5,539.5,33.5,0
362.1,567.5,34.9,0
130.0,371.0,31.7,0
375.3,576.0,19.2,0
404.4,475.0,29.3,0
170.9,411.5,27.5,0
213.4,354.7,34.0,0
522.1,414.7,30.1,0
506.8,354.9,38.6,0
161.0,364.7,25.9,0
281.9,442.1,37.8,0
522.0,387.5,25.9,0
120.5,380.7,25.4,0
182.1,589.0,32.4,0
450.6,489.3,33.4,0
438.5,422.3,33.2,0
542.7,499.0,23.3,0
342.2,470.0,23.5,0
235.6,350.3,29.3,0
259.8,514.4,18.4,0
319.9,533.9,31.3,0
440.1,417.7,33.4,0
321.9,532.1,30.5,0
485.8,574.5,21.8,0
153.0,454.8,19.1,0
375.3,361.0,39.0,0
373.7,492.4,18.5,0
119.7,549.3,31.4,0
174.8,392.5,29.3,0
248.9,577.1,39.3,0
397.9,380.4,26.9,0
108.0,396.4,29.0,0
341.4,377.3,22.4,0
331.6,444.1,32.1,0
351.9,475.6,28.6,0
209.9,585.3,19.9,0
387.4,353.1,33.0,0
382.5,449.4,22.2,0
134.3,504.2,37.0,0
169.6,392.3,25.9,0
427.5,559.5,33.5,0
502.2,353.7,38.4,0
148.2,515.4,26.8,0
113.3,513.8,19.0,0
512.3,578.2,40.8,0
241.2,526.7,19.0,0
495.6,545.2,35.6,0
451.8,428.1,18.2,0
547.9,356.5,36.7,0
100.4,574.6,28.2,0
141.7,483.5,38.8,0
200.2,351.1,31.0,0
327.0,469.0,22.7,0
423.7,432.8,28.0,0
413.6,544.0,30.2,0
432.6,365.1,31.4,0
425.3,519.2,40.2,0
467.0,502.7,20.0,0
238.8,516.1,33.0,0
367.1,489.2,28.9,0
405.0,404.6,33.4,0
411.4,383.6,31.7,0
346.7,408.1,36.3,0
325.0,437.0,28.1,0
108.4,507.9,35.8,0
509.4,574.1,35.1,0
388.5,500.5,39.7,0
125.0,521.6,20.5,0
125.9,381.9,20.8,0
154.8,579.4,38.8,0
542.2,443.5,33.0,0
525.6,550.5,24.1,0
317.6,591.5,20.1,0
244.5,572.3,28.5,0
283.5,515.8,36.9,0
356.6,504.8,23.3,0
309.1,457.8,28.9,0
341.1,562.0,34.9,0
287.7,449.2,19.1,0
159.2,393.8,21.7,0
178.8,573.8,32.8,0
268.0,406.4,40.5,0
160.1,355.9,22.5,0
499.8,576.1,32.1,0
174.1,516.5,29.8,0
375.6,569.3,34.1,0
284.5,358.0,23.4,0
419.8,435.4,19.6,0
153.8,362.6,28.4,0
470.1,467.5,40.2,0
390.7,581.0,28.3,0
191.1,581.9,19.1,0
518.2,421.0,24.0,0
369.4,407.9,35.8,0
434.5,518.8,19.9,0
436.4,548.1,21.9,0
459.2,519.2,27.3,0
314.6,529.4,40.8,0
190.6,556.9,34.8,0
277.1,454.9,33.9,0
