temperature,soil,light,result
37.6,360.8,409.1,0
25.5,477.8,201.6,0
22.4,269.5,326.1,0
37.0,534.2,477.8,0
40.6,448.0,412.4,0
37.3,548.6,484.9,0
29.3,385.4,480.4,0
19.2,459.1,455.1,0
28.7,564.1,495.6,0
19.3,490.1,433.1,0
21.3,390.0,520.4,0
27.3,349.1,205.4,0
28.8,363.5,385.7,0
40.8,545.0,240.3,0
28.4,360.2,422.1,0
36.3,522.9,347.2,0
36.2,495.1,409.0,0
28.3,402.2,372.7,0
39.4,545.2,292.4,0
29.4,300.4,535.7,0
28.3,532.8,185.1,0
22.4,555.6,435.4,0
31.2,415.3,373.3,0
32.7,443.2,314.0,0
22.7,514.2,289.0,0
28.1,304.0,532.8,0
25.2,441.0,252.5,0
22.8,562.4,325.5,0
20.5,526.7,179.0,0
37.4,274.0,477.6,0
18.7,562.9,266.2,0
20.0,503.9,315.6,0
19.1,358.9,496.3,0
19.9,261.3,411.1,0
24.3,251.2,451.4,0
22.2,547.7,245.7,0
32.0,318.5,258.9,0
24.9,431.5,461.3,0
39.0,458.9,193.6,0
22.3,476.1,422.2,0
27.1,302.6,191.1,0
18.9,295.8,314.3,0
28.3,523.9,159.7,0
37.2,484.3,411.8,0
22.3,371.1,471.4,0
34.2,487.2,290.6,0
29.8,475.2,152.7,0
34.3,477.6,163.6,0
33.1,443.3,420.2,0
19.9,278.6,515.1,0
26.2,533.5,154.3,0
18.0,551.6,318.4,0
39.0,255.4,166.5,0
39.8,477.7,306.8,0
37.0,496.0,477.2,0
31.5,312.0,162.4,0
38.8,290.3,402.1,0
28.9,294.6,444.7,0
31.1,495.1,198.6,0
19.3,292.3,412.3,0
28.5,302.4,316.9,0
36.6,481.9,412.0,0
26.5,562.1,162.6,0
31.2,577.1,411.4,0
27.6,258.4,476.8,0
29.8,310.1,207.5,0
24.6,316.8,458.8,0
20.7,592.5,342.1,0
20.6,523.8,461.4,0
20.1,296.6,171.2,0
26.8,435.6,531.2,0
22.3,567.9,404.9,0
24.3,337.9,459.9,0
26.0,489.1,184.4,0
38.5,399.0,242.8,0
35.5,366.1,467.1,0
21.3,548.9,488.2,0
27.8,448.3,201.0,0
39.8,455.2,475.2,0
36.9,278.5,165.9,0
20.8,280.8,170.3,0
32.5,554.9,317.9,0
23.1,308.9,347.3,0
36.8,470.4,484.0,0
20.3,510.0,414.9,0
38.4,489.6,525.8,0
36.4,436.8,243.6,0
31.3,356.3,477.9,0
24.0,586.3,350.8,0
37.9,499.4,191.0,0
24.2,505.6,219.2,0
33.9,295.3,516.1,0
25.6,386.1,206.7,0
30.9,513.5,501.9,0
34.9,572.9,331.6,0
32.9,568.7,247.0,0
20.6,417.1,397.8,0
26.0,439.2,415.8,0
29.8,342.7,277.4,0
30.0,423.8,458.0,0
38.3,460.3,265.9,0
27.1,281.6,462.5,0
39.4,387.0,539.7,0
32.9,503.1,502.1,0
38.8,596.4,482.3,0
38.5,545.7,475.0,0
22.1,356.1,244.4,0
39.7,583.1,507.9,0
30.5,425.0,467.5,0
25.9,401.7,525.4,0
24.3,421.0,153.7,0
23.5,463.9,162.4,0
28.8,577.7,393.8,0
36.0,359.6,334.3,0
34.7,431.7,249.3,0
26.6,342.2,433.2,0
18.4,492.9,184.1,0
18.1,549.4,414.3,0
28.0,457.8,314.4,0
23.6,324.6,350.8,0
34.2,565.6,510.0,0
30.3,533.4,360.0,0
32.8,314.6,152.9,0
28.7,478.2,225.6,0
33.9,434.7,367.0,0
18.3,422.9,527.2,0
30.7,553.7,502.0,0
29.4,505.7,451.0,0
18.2,483.4,389.5,0
30.4,556.7,422.7,0
22.2,399.5,417.9,0
39.6,299.8,294.9,0
18.7,360.8,333.1,0
24.9,453.0,204.2,0
32.9,561.0,332.1,0
23.6,301.2,528.5,0
29.1,390.9,351.8,0
30.0,482.6,363.4,0
35.8,365.5,222.5,0
36.9,594.7,237.2,0
25.6,327.4,239.3,0
34.0,528.1,207.1,0
40.0,505.0,355.6,0
39.2,356.4,446.7,0
21.1,326.0,373.6,0
26.4,473.4,501.8,0
24.8,412.2,400.0,0
27.3,388.2,183.0,0
25.2,315.2,266.7,0
39.5,509.2,305.2,0
19.4,421.4,433.2,0
29.3,574.1,286.0,0
33.4,556.4,275.6,0
33.6,386.0,434.5,0
34.0,487.9,288.6,0
29.3,482.7,166.1,0
40.1,365.7,516.0,0
20.2,484.8,153.2,0
25.8,308.1,426.5,0
37.8,490.9,290.2,0
23.4,576.4,292.0,0
24.4,385.9,444.2,0
40.9,593.3,461.7,0
38.3,360.0,252.6,0
22.1,279.7,374.3,0
31.1,428.5,480.7,0
26.9,582.7,208.6,0
38.5,542.9,238.9,0
20.1,575.4,206.8,0
39.3,378.3,394.0,0
30.8,475.6,248.6,0
37.0,534.7,542.7,0
31.1,259.0,370.4,0
23.9,344.1,466.9,0
28.6,481.2,465.6,0
25.0,289.1,266.4,0
40.1,575.0,196.7,0
18.0,349.0,242.1,0
32.5,381.5,274.5,0
18.8,528.7,343.3,0
38.5,421.6,266.6,0
26.2,540.7,530.4,0
30.5,258.3,425.7,0
33.1,334.6,433.8,0
33.0,434.5,220.9,0
30.1,339.1,311.2,0
19.4,335.5,378.0,0
34.1,587.8,307.5,0
19.5,338.9,260.7,0
27.4,548.0,379.8,0
18.3,566.3,349.2,0
26.0,437.3,530.0,0
28.4,308.1,496.3,0
34.2,452.5,535.4,0
40.8,517.7,504.7,0
40.7,522.4,245.6,0
35.3,381.4,243.9,0
22.7,256.7,184.8,0
30.4,560.4,330.2,0
25.9,548.4,384.5,0
21.2,492.0,258.6,0
27.7,319.5,243.3,0
31.4,283.4,222.2,0
23.8,339.7,191.1,0
40.9,412.6,447.8,0
27.5,440.6,180.0,0
20.4,371.1,165.8,0
33.8,571.6,524.0,0
19.1,542.4,304.8,0
31.5,451.5,410.1,0
28.1,471.4,383.9,0
27.7,451.7,250.1,0
22.8,545.4,434.5,0
29.0,594.7,150.3,0
29.6,254.4,222.9,0
22.5,425.8,178.6,0
25.5,439.5,484.3,0
22.7,323.6,545.0,0
31.2,517.1,350.6,0
40.9,500.7,201.7,0
21.7,253.5,481.8,0
40.4,363.8,256.1,0
25.0,341.8,338.5,0
27.0,346.3,277.1,0
32.7,391.9,333.0,0
20.2,361.8,177.7,0
18.5,428.7,527.8,0
20.2,598.5,174.3,0
36.4,304.7,366.0,0
29.1,346.5,402.5,0
33.4,253.4,186.0,0
29.9,466.3,465.8,0
19.6,548.5,534.2,0
39.7,321.9,195.0,0
38.1,400.2,392.9,0
21.3,331.2,291.3,0
32.6,545.1,268.4,0
20.6,441.5,493.0,0
25.7,334.7,469.1,0
34.8,577.2,417.1,0
19.6,387.7,436.2,0
36.4,574.9,379.0,0
32.0,270.7,230.3,0
27.3,301.0,507.8,0
39.2,304.4,363.5,0
34.5,275.4,264.1,0
27.2,383.4,286.0,0
30.5,590.8,472.1,0
19.0,364.7,389.9,0
30.8,408.8,264.9,0
21.3,252.9,471.1,0
25.4,430.3,509.6,0
27.6,499.5,368.1,0
34.5,440.2,259.2,0
23.7,263.9,184.9,0
19.8,393.7,528.1,0
37.7,536.7,173.0,0
33.6,308.4,259.4,0
22.9,433.4,366.1,0
20.0,434.9,160.2,0
30.1,374.9,533.5,0
23.1,274.2,497.1,0
22.6,399.7,168.3,0
34.9,592.7,268.2,0
37.0,353.3,511.6,0
38.1,452.9,302.6,0
29.3,382.0,176.3,0
26.4,346.2,495.3,0
33.6,380.9,339.4,0
38.6,441.0,195.3,0
31.7,374.9,416.4,0
35.8,387.4,291.1,0
24.0,507.2,346.6,0
35.7,257.7,454.9,0
36.4,436.6,229.9,0
20.8,356.2,490.9,0
38.5,498.7,261.6,0
35.0,520.0,294.1,0
28.9,477.1,405.6,0
30.3,303.4,402.4,0
39.0,540.0,231.3,0
23.9,456.7,333.0,0
38.7,368.1,517.6,0
20.6,446.4,370.9,0
37.0,251.9,481.4,0
38.4,408.3,498.2,0
24.8,308.3,250.6,0
21.2,401.7,446.2,0
35.9,489.1,253.1,0
20.1,343.0,547.1,0
26.3,510.8,411.0,0
39.7,320.2,369.6,0
35.6,580.0,162.5,0
21.7,380.8,232.7,0
39.8,444.1,510.7,0
37.3,427.9,337.2,0
26.8,259.3,267.8,0
27.5,319.9,227.4,0
18.9,374.8,169.9,0
34.0,595.0,430.9,0
39.4,333.2,267.5,0
36.9,431.9,224.8,0
36.5,424.1,341.6,0
34.8,271.7,445.6,0
26.4,385.9,512.0,0
39.4,367.9,365.0,0
38.5,479.0,493.1,0
32.3,268.8,236.7,0
18.6,404.9,404.4,0
30.8,325.6,462.2,0
24.3,291.0,322.9,0
31.8,255.1,200.9,0
31.3,283.7,402.9,0
20.6,434.6,281.3,0
37.1,428.2,540.4,0
20.7,301.4,260.0,0
18.3,489.6,454.2,0
39.3,452.2,512.7,0
20.9,372.9,209.7,0
25.4,507.4,367.4,0
39.4,562.7,445.4,0
35.0,359.4,391.4,0
18.3,534.1,360.2,0
29.6,519.8,399.0,0
26.8,293.6,539.6,0
28.6,281.6,439.8,0
33.6,317.2,171.5,0
29.5,544.8,233.0,0
30.5,407.5,247.5,0
32.1,347.3,407.9,0
18.3,271.4,361.9,0
28.1,466.5,484.8,0
27.1,475.2,486.0,0
19.5,510.0,283.7,0
21.8,292.8,284.4,0
24.3,285.4,202.1,0
20.6,271.9,372.3,0
30.1,335.0,237.9,0
27.6,387.9,277.6,0
32.8,487.8,306.8,0
38.4,372.3,281.8,0
26.1,535.0,413.5,0
22.4,274.4,416.8,0
29.6,555.0,475.7,0
37.8,566.7,342.2,0
28.0,574.5,514.1,0
25.0,433.8,325.4,0
38.5,591.6,306.3,0
22.8,599.9,157.3,0
27.1,535.0,201.4,0
32.9,323.4,261.9,0
40.4,515.7,519.4,0
21.9,306.3,302.6,0
26.2,547.4,172.6,0
19.4,446.4,469.0,0
23.3,520.3,469.6,0
36.3,488.4,174.5,0
32.3,362.1,390.8,0
28.4,545.1,408.8,0
22.6,482.6,522.2,0
33.3,488.0,361.6,0
35.7,401.2,314.6,0
34.5,453.6,447.0,0
25.4,493.1,467.9,0
19.9,325.6,529.4,0
29.3,261.3,448.7,0
20.5,590.0,254.4,0
32.3,462.1,520.4,0
23.7,378.2,172.8,0
34.3,503.6,375.7,0
34.8,509.6,195.5,0
32.6,297.4,423.1,0
22.1,570.8,176.8,0
18.4,499.4,366.2,0
20.8,437.6,527.6,0
24.4,501.3,180.8,0
27.3,399.9,417.0,0
27.3,351.5,401.8,0
21.5,262.3,332.8,0
25.6,468.4,381.5,0
31.7,400.9,452.8,0
39.9,352.9,182.0,0
28.8,307.9,481.1,0
36.1,271.8,363.1,0
34.5,309.7,173.6,0
25.6,586.2,448.5,0
29.7,354.8,250.5,0
25.2,506.5,503.9,0
32.1,500.7,368.0,0
23.2,391.5,546.4,0
23.1,338.5,337.3,0
34.7,549.3,431.1,0
18.7,358.5,190.8,0
37.0,482.1,184.7,0
21.9,340.9,435.7,0
18.8,575.3,315.1,0
24.3,437.2,284.7,0
34.3,265.3,450.2,0
22.5,355.6,384.4,0
27.8,294.6,538.7,0
40.9,519.3,253.4,0
31.5,291.9,461.8,0
31.8,470.8,357.8,0
33.5,254.7,520.8,0
20.3,407.4,433.5,0
38.2,529.3,526.5,0
19.5,497.6,274.3,0
21.2,499.7,309.3,0
35.1,587.3,304.2,0
19.7,329.7,452.0,0
33.5,499.4,221.2,0
29.7,450.5,161.4,0
36.0,554.7,362.2,0
39.4,354.6,291.1,0
20.9,575.1,168.2,0
20.7,377.6,271.2,0
22.4,392.1,286.8,0
31.0,385.5,267.3,0
29.4,385.4,268.6,0
31.5,439.8,197.7,0
23.5,501.5,158.0,0
22.5,304.9,432.3,0
35.4,255.8,497.4,0
40.1,487.4,332.6,0
26.6,529.4,336.9,0
22.5,398.6,413.0,0
37.8,274.6,185.1,0
27.4,326.2,492.6,0
23.8,465.5,521.0,0
22.5,437.5,463.3,0
25.7,578.4,350.7,0
25.4,288.0,309.3,0
29.2,512.6,257.4,0
37.6,300.9,341.2,0
30.5,365.7,302.1,0
19.5,457.1,476.7,0
32.1,440.7,215.5,0
31.7,429.7,483.3,0
36.8,301.8,343.3,0
35.8,551.3,492.0,0
26.5,300.8,506.6,0
31.9,283.1,333.8,0
29.7,333.6,398.2,0
18.6,463.2,174.4,0
30.9,470.1,166.3,0
18.9,404.3,544.6,0
25.9,533.1,385.5,0
21.0,450.4,483.7,0
38.9,314.5,298.3,0
21.8,537.1,536.6,0
36.5,463.5,490.7,0
22.7,468.3,208.1,0
34.6,437.2,326.8,0
30.3,319.5,234.0,0
25.5,547.9,269.4,0
40.5,427.6,167.7,0
40.3,340.9,362.6,0
24.7,423.5,231.5,0
25.7,379.6,293.3,0
21.0,427.8,245.7,0
41.0,362.7,401.0,0
40.7,570.7,439.0,0
21.8,253.8,252.7,0
25.8,469.2,207.3,0
40.9,581.8,487.7,0
32.5,522.5,385.4,0
38.4,414.0,526.5,0
29.5,256.1,161.4,0
37.0,488.7,393.7,0
37.4,391.3,388.4,0
33.4,359.8,259.3,0
26.4,363.8,158.7,0
20.4,339.4,401.9,0
34.1,295.0,216.0,0
31.2,598.9,501.8,0
28.4,280.0,226.3,0
34.0,280.7,171.3,0
28.5,330.5,342.9,0
21.8,451.0,526.0,0
31.6,585.7,243.7,0
39.3,595.9,522.2,0
30.4,266.3,239.4,0
38.5,290.3,246.5,0
18.1,331.8,549.8,0
32.7,494.6,483.9,0
21.6,416.3,382.3,0
35.6,266.8,192.0,0
22.4,326.2,214.7,0
33.8,573.6,404.3,0
30.9,426.2,369.3,0
31.6,270.8,204.8,0
36.2,451.5,375.8,0
40.5,307.0,253.8,0
18.7,543.4,305.9,0
29.7,467.2,405.4,0
29.4,519.3,514.6,0
27.6,589.6,456.4,0
36.6,526.4,314.3,0
26.5,342.3,501.5,0
18.7,428.0,199.5,0
19.5,584.2,204.2,0
37.0,582.5,277.1,0
38.7,582.7,387.9,0
29.9,329.0,270.7,0
27.8,386.0,338.5,0
18.0,282.6,176.4,0
25.4,471.2,508.7,0
34.9,338.8,246.8,0
33.9,487.8,304.4,0
28.8,423.0,430.0,0
30.4,514.1,499.7,0
22.2,361.8,431.4,0
33.4,352.1,225.7,0
30.9,512.5,548.4,0
21.7,424.3,446.3,0
39.4,408.8,265.7,0
34.0,276.2,313.5,0
35.3,556.3,414.7,0
25.1,355.4,485.2,0
22.7,464.7,382.9,0
24.8,433.7,386.1,0
28.6,296.0,275.5,0
23.8,499.7,549.7,0
20.7,454.9,539.9,0
39.7,335.5,231.6,0
38.7,510.0,379.2,0
32.3,438.5,507.9,0
21.5,313.8,424.3,0
37.6,422.6,168.6,0
30.7,344.0,373.4,0
25.5,401.8,335.9,0
21.2,427.1,244.6,0
37.9,334.5,515.3,0
27.5,263.2,413.7,0
19.2,511.6,242.4,0
36.3,265.0,228.1,0
36.7,554.8,481.2,0
36.3,559.0,484.0,0
21.7,564.1,257.4,0
39.2,328.6,453.2,0
39.1,554.8,227.1,0
21.2,467.7,303.8,0
37.8,282.3,415.6,0
27.9,312.1,158.4,0
22.8,590.2,297.8,0
40.7,347.1,352.9,0
38.7,330.5,293.8,0
25.5,473.5,158.8,0
22.2,361.2,438.8,0
26.3,450.6,218.8,0
23.3,441.0,335.4,0
25.4,414.2,259.4,0
37.3,545.2,313.4,0
30.1,285.5,428.7,0
37.6,534.0,342.3,0
23.2,509.8,530.5,0
30.4,595.6,249.0,0
31.4,565.3,399.0,0
31.6,563.6,368.7,0
18.4,438.4,269.6,0
32.6,442.6,535.8,0
33.6,458.7,261.5,0
32.6,575.0,537.0,0
28.7,525.2,459.2,0
38.7,506.5,157.4,0
39.1,332.7,387.4,0
31.3,298.3,379.6,0
23.0,488.5,279.5,0
25.2,454.0,493.2,0
24.3,481.3,257.2,0
36.4,295.4,208.8,0
35.7,382.8,497.9,0
33.9,551.7,386.1,0
29.4,424.7,168.9,0
18.3,523.1,299.3,0
20.0,267.2,229.9,0
20.2,320.3,230.5,0
20.0,542.8,549.4,0
40.0,269.8,298.6,0
21.1,350.2,195.1,0
32.7,289.3,279.2,0
24.6,592.7,231.0,0
28.8,561.3,169.7,0
21.0,513.6,262.0,0
23.7,531.2,391.0,0
19.9,252.8,540.7,0
18.3,498.7,352.2,0
30.8,405.3,260.9,0
38.2,437.1,277.8,0
29.7,414.0,183.1,0
38.4,488.8,228.1,0
26.8,405.5,318.2,0
34.5,420.0,313.7,0
23.4,279.5,368.5,0
40.7,396.7,359.3,0
36.8,306.5,408.0,0
34.5,513.7,307.1,0
28.8,579.7,228.5,0
39.3,570.3,185.3,0
35.5,574.4,372.1,0
32.4,557.2,428.7,0
39.0,514.2,337.7,0
29.5,441.8,367.3,0
34.9,366.7,320.9,0
30.9,258.3,429.6,0
37.4,371.3,366.9,0
36.7,414.5,321.6,0
34.3,364.9,358.2,0
38.3,559.6,496.7,0
34.0,546.5,344.6,0
19.9,384.0,204.6,0
35.8,446.5,498.9,0
35.3,454.8,513.7,0
28.8,511.9,264.5,0
31.0,484.4,442.1,0
22.9,519.1,545.2,0
39.0,582.8,228.0,0
27.4,282.4,467.5,0
37.7,320.1,444.4,0
31.9,281.4,190.8,0
25.0,454.0,225.9,0
33.0,261.9,291.6,0
29.1,560.1,491.0,0
35.6,366.9,502.8,0
32.1,453.4,527.7,0
26.2,367.1,246.9,0
24.4,422.4,343.2,0
18.9,580.2,512.7,0
22.8,307.0,272.9,0
27.5,525.2,544.3,0
33.2,512.8,219.7,0
22.5,372.8,322.5,0
21.6,453.3,300.8,0
38.3,415.0,199.3,0
25.2,544.5,536.8,0
27.3,552.0,404.3,0
34.7,426.3,508.7,0
23.0,454.1,438.5,0
30.5,355.3,354.9,0
30.2,336.0,537.0,0
22.9,334.9,226.0,0
36.1,293.4,331.8,0
32.2,545.5,152.6,0
28.4,581.8,488.8,0
38.9,429.6,388.3,0
25.5,363.6,232.0,0
26.9,568.5,379.0,0
23.9,301.5,427.5,0
31.8,373.2,517.2,0
30.3,371.6,464.0,0
20.3,404.5,510.1,0
25.9,430.8,352.1,0
20.7,472.8,172.5,0
24.7,544.2,478.3,0
38.8,358.4,303.5,0
18.6,322.6,412.7,0
34.3,283.9,170.7,0
27.9,357.3,298.9,0
37.1,412.6,188.6,0
37.0,485.5,478.1,0
36.8,322.4,256.6,0
26.6,578.3,493.0,0
39.0,283.9,237.2,0
35.2,404.2,185.3,0
29.0,253.1,470.7,0
24.4,350.3,214.8,0
37.3,451.3,220.9,0
39.2,389.1,469.2,0
19.7,597.1,465.0,0
22.1,535.6,339.4,0
26.8,523.9,476.2,0
40.5,359.5,330.6,0
30.5,568.6,455.6,0
37.1,400.2,512.5,0
39.6,534.3,393.3,0
34.6,470.0,230.4,0
39.9,383.2,439.0,0
25.3,560.7,445.0,0
21.2,502.9,355.9,0
18.2,524.4,260.3,0
32.4,514.4,236.1,0
27.5,447.4,405.0,0
18.8,568.2,209.6,0
33.0,417.4,469.8,0
23.4,344.3,465.8,0
30.2,535.9,342.2,0
30.9,553.2,369.8,0
39.5,318.7,254.7,0
29.7,300.7,240.1,0
19.4,266.1,298.7,0
29.0,416.0,234.3,0
19.3,540.9,481.3,0
30.7,346.9,541.3,0
38.4,272.0,352.4,0
31.7,538.4,533.2,0
30.1,377.2,164.4,0
37.9,424.9,258.5,0
20.1,325.0,428.7,0
33.9,273.3,357.0,0
30.0,599.2,473.1,0
18.7,339.5,490.1,0
28.9,522.7,178.5,0
20.5,258.2,258.7,0
30.2,457.9,441.2,0
20.0,541.9,450.3,0
35.5,323.2,388.3,0
31.8,333.0,445.6,0
29.8,447.3,385.8,0
36.5,503.8,503.3,0
23.7,251.2,261.6,0
31.4,350.6,357.1,0
30.9,332.3,406.1,0
33.3,454.9,464.5,0
20.0,581.9,505.3,0
37.6,330.1,185.2,0
33.9,570.5,394.7,0
30.7,372.9,336.7,0
39.9,269.5,192.6,0
